subj_id	O	C	E	A	N
S01	4.428571429	4.5	3.333333333	5.142857143	1.625
S02	5.714285714	2.9	3.222222222	3	2.625
S03	5.142857143	2.8	6	3.571428571	2.5
S04	3.142857143	5.2	1.333333333	1.571428571	3.125
S05	5.428571429	4.4	2.444444444	4.714285714	1.625
S06	4.428571429	2.2	3.111111111	4.571428571	4
S07	3.142857143	4.2	4	4	1.75
S08	5.428571429	2.8	2	4.714285714	3
S09	5.142857143	3.6	3.222222222	4.142857143	2.5
S10	5.428571429	4.5	4.888888889	5	1.625
S11	4.428571429	2.7	4.222222222	4.428571429	2.75
S12	4.714285714	4.8	4.555555556	4.857142857	0.75
S13	6	4	3.777777778	4.142857143	3.5
S14	4.571428571	3.1	2.777777778	5.142857143	2.625
S15	4.857142857	4.6	4.555555556	4.714285714	1.75
S16	4.285714286	2.6	2.333333333	3.142857143	5
S17	3	4.1	4.555555556	4.428571429	1.5
S18	4.857142857	4.4	1.666666667	5	2.25
S19	4.571428571	3.3	4	3.857142857	2.25
S20	5.428571429	3.5	2.222222222	2.714285714	1.875
