sub_id,word,ink,response,rt
S01,blue,blue,blue,573.2538964606193
S01,blue,blue,blue,573.2538964606193
S01,blue,blue,blue,572.8418634474955
S01,blue,blue,blue,572.8418634474955
S01,blue,blue,blue,633.9761324558533
S01,blue,blue,blue,633.9761324558533
S01,blue,blue,blue,679.3466425250641
S01,blue,blue,blue,679.3466425250641
S01,blue,blue,blue,744.3607904608157
S01,blue,blue,blue,744.3607904608157
S01,blue,purple,purple,808.6913328150932
S01,blue,purple,purple,808.6913328150932
S01,blue,purple,purple,686.5302095216849
S01,blue,purple,NA,NA
S01,blue,purple,purple,727.3668998517569
S01,blue,purple,purple,727.3668998517569
S01,blue,purple,purple,729.4594038947935
S01,blue,purple,purple,729.4594038947935
S01,blue,purple,NA,NA
S01,blue,purple,purple,653.791627515681
S01,blue,green,green,681.546287276368
S01,blue,green,NA,NA
S01,blue,green,green,663.0393130750917
S01,blue,green,green,663.0393130750917
S01,blue,green,green,648.4215946037739
S01,blue,green,green,648.4215946037739
S01,blue,green,green,612.2889847134282
S01,blue,green,green,612.2889847134282
S01,blue,green,green,668.1523924055929
S01,blue,green,green,668.1523924055929
S01,blue,red,red,679.11327056531
S01,blue,red,red,679.11327056531
S01,blue,red,red,802.2892849546115
S01,blue,red,red,802.2892849546115
S01,blue,red,red,727.0154765998356
S01,blue,red,red,727.0154765998356
S01,blue,red,red,692.6079924801071
S01,blue,red,blue,692.6079924801071
S01,blue,red,red,741.4375097657747
S01,blue,red,red,741.4375097657747
S01,blue,brown,brown,708.9135852464894
S01,blue,brown,brown,708.9135852464894
S01,blue,brown,brown,625.7106257849933
S01,blue,brown,brown,625.7106257849933
S01,blue,brown,brown,597.3321541855468
S01,blue,brown,brown,597.3321541855468
S01,blue,brown,brown,666.8537864846796
S01,blue,brown,brown,666.8537864846796
S01,blue,brown,brown,628.9305232523153
S01,blue,brown,brown,628.9305232523153
S01,purple,blue,blue,590.4662545112818
S01,purple,blue,blue,590.4662545112818
S01,purple,blue,NA,NA
S01,purple,blue,blue,796.1503001242111
S01,purple,blue,blue,680.0152284138187
S01,purple,blue,blue,680.0152284138187
S01,purple,blue,purple,716.3150592843591
S01,purple,blue,NA,NA
S01,purple,blue,blue,668.8144513215029
S01,purple,blue,blue,668.8144513215029
S01,purple,purple,purple,708.1348718850231
S01,purple,purple,purple,708.1348718850231
S01,purple,purple,purple,740.5242296658997
S01,purple,purple,purple,740.5242296658997
S01,purple,purple,purple,536.04243853498
S01,purple,purple,purple,536.04243853498
S01,purple,purple,purple,676.5192655795285
S01,purple,purple,purple,676.5192655795285
S01,purple,purple,purple,678.887342972928
S01,purple,purple,purple,678.887342972928
S01,purple,green,green,605.7927958301966
S01,purple,green,green,605.7927958301966
S01,purple,green,green,720.6844581716382
S01,purple,green,NA,NA
S01,purple,green,green,703.578602599147
S01,purple,green,green,703.578602599147
S01,purple,green,green,761.0189272007917
S01,purple,green,green,761.0189272007917
S01,purple,green,green,667.8782682312433
S01,purple,green,green,667.8782682312433
S01,purple,red,red,682.5810681166606
S01,purple,red,red,682.5810681166606
S01,purple,red,red,771.0871985562494
S01,purple,red,red,771.0871985562494
S01,purple,red,red,822.4884393903752
S01,purple,red,red,822.4884393903752
S01,purple,red,red,769.0826453079575
S01,purple,red,red,769.0826453079575
S01,purple,red,red,635.3626107495937
S01,purple,red,red,635.3626107495937
S01,purple,brown,brown,664.6321046675199
S01,purple,brown,brown,664.6321046675199
S01,purple,brown,brown,791.8975138824994
S01,purple,brown,NA,NA
S01,purple,brown,purple,765.6929450012723
S01,purple,brown,brown,765.6929450012723
S01,purple,brown,brown,704.3400691142406
S01,purple,brown,brown,704.3400691142406
S01,purple,brown,brown,589.0276613790636
S01,purple,brown,brown,589.0276613790636
S01,green,blue,blue,702.9650396864066
S01,green,blue,blue,702.9650396864066
S01,green,blue,blue,731.0637000837273
S01,green,blue,blue,731.0637000837273
S01,green,blue,NA,NA
S01,green,blue,green,727.1442093661595
S01,green,blue,blue,707.0554668115044
S01,green,blue,blue,707.0554668115044
S01,green,blue,blue,684.1976299972474
S01,green,blue,blue,684.1976299972474
S01,green,purple,purple,730.7005914131917
S01,green,purple,purple,730.7005914131917
S01,green,purple,purple,646.4369171188634
S01,green,purple,purple,646.4369171188634
S01,green,purple,purple,768.8273670839089
S01,green,purple,purple,768.8273670839089
S01,green,purple,purple,737.3230703988679
S01,green,purple,purple,737.3230703988679
S01,green,purple,purple,786.1437097025304
S01,green,purple,NA,NA
S01,green,green,green,713.0286738669198
S01,green,green,green,713.0286738669198
S01,green,green,green,666.2692099739792
S01,green,green,NA,NA
S01,green,green,green,637.1090568060025
S01,green,green,green,637.1090568060025
S01,green,green,green,651.4318023153248
S01,green,green,green,651.4318023153248
S01,green,green,green,728.1961389813746
S01,green,green,green,728.1961389813746
S01,green,red,red,611.3900683234957
S01,green,red,NA,NA
S01,green,red,red,766.6409452429957
S01,green,red,red,766.6409452429957
S01,green,red,red,732.5907871346736
S01,green,red,green,732.5907871346736
S01,green,red,red,671.6190959590172
S01,green,red,red,671.6190959590172
S01,green,red,red,665.5127101210892
S01,green,red,red,665.5127101210892
S01,green,brown,brown,592.6597152094297
S01,green,brown,brown,592.6597152094297
S01,green,brown,NA,NA
S01,green,brown,brown,691.8333943226539
S01,green,brown,brown,775.1138275607966
S01,green,brown,brown,775.1138275607966
S01,green,brown,brown,684.3017331368767
S01,green,brown,brown,684.3017331368767
S01,green,brown,brown,820.9460445440848
S01,green,brown,green,820.9460445440848
S01,red,blue,blue,654.8410183773772
S01,red,blue,blue,654.8410183773772
S01,red,blue,blue,776.6041525799626
S01,red,blue,blue,776.6041525799626
S01,red,blue,blue,521.0518927241299
S01,red,blue,blue,521.0518927241299
S01,red,blue,blue,672.0926466355426
S01,red,blue,NA,NA
S01,red,blue,blue,778.099987326219
S01,red,blue,blue,778.099987326219
S01,red,purple,purple,771.5815262955558
S01,red,purple,NA,NA
