user_id,sex,birthday
0,NA,NA
1,female,1976-11-18
2,male,1985-10-09
5,male,1980-06-26
8,male,1968-06-21
9,male,1972-01-19
10,female,1978-06-20
17,female,1981-11-21
19,female,1980-08-08
20,male,1964-08-27
21,male,1945-06-13
22,male,1973-10-25
23,female,1985-12-16
24,female,1982-09-22
27,female,1965-08-31
30,female,1985-06-28
31,male,1974-02-16
32,male,1984-04-10
33,female,1954-11-05
34,female,1975-03-10
35,female,1985-04-15
37,female,1986-02-01
47,female,1986-10-20
51,female,1985-05-17
67,female,1986-02-10
78,female,1959-01-22
82,female,1956-05-27
84,male,1984-10-30
98,female,1985-09-29
102,female,1984-10-03
103,female,1984-07-15
106,female,1984-02-06
108,male,1985-08-01
137,female,1985-12-18
139,female,1984-10-16
140,male,1985-11-22
142,female,1985-06-24
144,female,1985-04-21
168,female,1985-02-28
169,female,1987-02-04
172,male,1985-09-07
173,male,1980-05-20
194,female,1963-04-09
197,female,1986-09-24
202,male,1983-12-11
204,NA,NA
205,male,1986-05-13
207,female,1983-01-15
210,female,1984-11-02
213,female,1986-04-02
219,male,1983-03-11
224,female,1984-05-15
233,female,1986-06-20
235,male,1986-06-30
238,female,1986-04-05
246,male,1979-12-30
247,female,1981-07-06
248,male,1986-10-11
252,male,1985-01-31
253,female,1986-04-01
256,female,1985-05-24
260,male,1985-12-11
262,female,1985-09-09
269,female,1985-10-12
271,female,1981-04-06
273,male,1986-06-03
274,female,1986-10-14
275,female,1980-03-29
278,female,1984-04-28
283,female,1986-05-19
286,female,1986-05-04
298,female,1988-01-21
325,female,1985-10-10
332,male,1985-07-21
341,male,1951-03-01
344,male,1986-04-26
352,male,1977-10-20
355,male,1985-11-14
368,female,1954-03-26
369,male,1964-02-02
372,male,1963-10-14
373,female,1969-03-03
374,male,1975-06-03
377,female,1984-02-04
379,female,1973-10-06
383,female,1985-10-03
384,female,1982-07-13
390,female,1984-01-29
393,female,1979-06-21
394,female,1979-11-29
397,female,1989-03-26
398,female,1979-11-23
400,female,1981-05-22
402,male,1981-04-13
403,female,1966-05-03
404,female,1982-10-06
407,female,1980-11-28
422,male,1983-06-16
424,male,1984-03-16
426,male,1985-12-17
428,female,1986-08-14
429,female,1985-05-19
436,female,1983-01-25
437,female,1986-02-24
450,female,1986-07-15
459,female,1971-08-11
461,female,1985-09-23
464,male,1987-11-14
466,female,1981-03-17
467,female,1957-07-15
469,female,1983-02-28
478,female,1979-08-13
482,female,1981-03-13
487,female,1983-08-09
488,female,1984-08-29
495,female,1983-09-30
496,female,1984-03-14
497,female,1986-01-09
504,female,1983-09-05
508,female,1984-06-28
512,female,1985-04-29
528,female,1986-10-01
536,male,1984-05-15
539,female,1984-02-17
543,female,1981-12-31
547,female,1986-02-23
554,male,1982-06-28
561,female,1986-09-24
564,female,1980-12-21
572,female,1986-07-05
574,female,1968-09-11
581,female,1981-06-21
584,female,1986-05-20
587,male,1970-02-28
592,female,1986-06-15
597,male,1985-02-18
609,male,1987-04-02
628,female,1987-01-08
635,female,1986-06-28
643,female,1986-10-14
648,female,1975-04-14
681,female,1968-11-11
685,female,1980-02-21
695,female,1982-05-25
716,male,1982-03-12
717,male,1984-05-02
727,male,1978-07-31
730,female,1983-08-10
749,male,1989-11-04
751,female,1987-09-29
752,female,1981-03-26
757,male,1981-10-24
768,female,1977-08-02
770,male,1968-09-10
771,female,1982-11-10
772,female,1986-02-15
775,male,1967-12-14
777,female,1967-05-01
778,female,1970-08-08
785,female,1986-04-28
787,female,1981-01-23
789,female,1981-02-25
791,male,1977-07-08
793,female,1984-12-05
797,female,1968-05-02
804,male,1984-10-22
805,male,1979-01-01
806,male,1967-09-02
807,male,1981-06-10
815,female,1986-07-10
817,female,1972-12-01
818,female,1981-03-02
820,female,1969-12-22
827,female,1973-09-30
830,male,1983-10-20
833,female,1987-12-31
837,female,1984-04-28
838,male,1984-08-02
851,female,1974-05-24
860,female,1980-10-19
862,female,1958-06-13
868,male,1973-05-04
871,female,1980-07-09
876,female,1974-05-29
878,male,1979-04-06
881,male,1974-09-30
882,female,1981-08-15
896,female,1958-10-26
897,female,1972-11-07
899,female,1975-04-16
902,female,1980-08-24
910,female,1977-07-21
913,male,1983-10-03
926,female,1988-07-07
933,female,1987-12-13
937,female,1983-12-08
938,female,1986-10-04
942,male,1988-06-26
943,male,1988-03-24
946,female,1987-10-14
948,male,1960-10-12
952,female,1959-07-20
953,female,1986-04-12
955,female,1979-07-26
956,male,1969-04-19
962,female,1984-11-23
966,male,1975-06-19
970,female,1990-10-30
971,male,1974-04-04
989,female,1979-07-07
993,male,1979-10-18
995,male,1985-03-17
996,female,1958-04-20
1003,male,1975-04-12
