user_id,date,Op1,Ne1,Ne2,Op2,Ex1,Ex2,Co1,Co2,Ne3,Ag1,Ag2,Ne4,Ex3,Co3,Op3,Ex4,Op4,Ex5,Ag3,Co4,Co5,Ne5,Op5,Ag4,Op6,Co6,Ex6,Ne6,Co7,Ag5,Co8,Ex7,Ne7,Co9,Op7,Ne8,Ag6,Ag7,Co10,Ex8,Ex9
0,2006-03-23,3,4,0,6,3,3,3,3,0,2,1,3,3,2,2,1,3,3,1,3,0,3,6,1,0,6,3,1,3,3,3,3,,3,0,2,,3,1,2,4
1,2006-02-08,6,0,6,0,0,0,0,0,0,0,6,6,6,0,6,0,0,0,0,6,6,0,6,0,6,0,6,6,6,6,0,6,0,6,6,0,6,0,6,0,6
2,2005-10-24,6,0,6,0,0,0,0,0,0,0,6,6,5,1,5,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,1,5,1,5,5,1,5,1,5,1,5
5,2005-12-07,6,4,4,4,2,3,3,3,1,4,0,2,5,3,5,3,6,6,1,5,5,4,2,4,1,4,3,1,1,0,1,4,2,4,5,1,2,1,5,4,5
8,2006-07-27,6,1,2,6,2,3,5,4,0,6,5,3,3,4,5,3,6,3,0,5,5,1,5,6,6,6,0,0,3,2,3,1,0,3,5,1,3,1,3,3,5
108,2006-02-28,3,2,1,4,4,4,4,3,1,5,4,2,3,4,4,3,3,3,4,3,3,1,4,5,4,5,4,1,4,5,4,2,2,4,4,1,4,3,5,4,2
233,2006-11-08,3,3,2,4,4,5,3,3,4,5,5,3,3,5,3,4,3,4,4,2,3,4,3,5,6,6,3,3,,6,3,5,4,5,6,5,5,3,1,2,3
298,2005-11-08,6,4,3,0,3,2,4,4,4,4,3,3,0,4,2,3,0,2,4,4,1,5,2,6,0,5,1,4,2,2,0,3,4,3,2,4,6,5,2,4,3
426,2006-09-05,6,0,1,0,5,5,5,5,0,2,4,0,6,5,4,5,6,5,3,3,5,0,6,6,0,4,6,0,3,2,1,6,0,5,1,0,1,0,5,6,6
436,2006-05-31,3,3,2,3,4,3,3,3,4,5,3,4,1,3,3,3,3,2,3,1,1,3,6,6,3,3,3,4,3,3,3,3,3,3,3,4,3,3,2,2,3
685,2006-05-04,4,3,5,4,1,4,3,5,2,4,5,4,4,4,3,2,4,2,4,4,2,4,2,4,5,5,2,4,2,4,2,4,2,4,2,4,4,2,4,4,3
807,2006-02-27,5,3,5,3,1,1,3,3,5,3,1,5,2,3,6,0,5,4,4,3,4,6,4,2,3,5,1,5,2,1,2,3,5,3,4,5,2,1,3,0,4
871,2007-05-16,5,2,3,3,3,3,1,3,1,2,5,5,3,4,5,3,4,2,3,1,4,2,3,4,5,4,4,2,4,3,1,5,1,4,5,1,3,2,4,4,4
881,2007-04-28,5,1,1,4,3,2,5,4,2,4,4,4,2,4,5,3,5,3,4,2,4,0,4,5,5,6,2,1,2,5,2,1,2,4,5,2,5,3,4,4,3
948,2006-05-13,6,1,1,5,1,1,5,5,5,5,2,5,1,5,6,1,6,0,4,4,2,1,6,4,5,6,1,5,5,2,4,1,5,2,6,5,1,5,3,1,2
1023,2005-11-08,4,3,1,3,3,6,4,1,5,3,6,3,2,4,5,2,6,4,5,2,1,1,6,5,2,1,5,6,2,6,3,6,2,4,3,2,6,6,2,3,5
1052,2005-11-02,1,4,1,3,5,5,4,5,2,5,5,2,5,2,4,,2,5,5,,6,0,6,6,5,3,6,1,5,5,2,6,2,6,6,1,2,4,5,5,5
1197,2005-11-08,2,5,6,4,1,3,5,4,2,5,5,5,1,4,4,4,2,2,4,5,4,4,5,4,1,4,2,2,5,6,4,3,4,5,5,5,6,4,5,4,4
1297,2006-11-22,5,2,1,1,0,4,6,5,1,5,5,2,0,5,3,4,4,3,5,6,3,3,3,5,1,5,1,2,3,5,5,1,1,5,2,1,6,6,5,3,4
1556,2005-12-17,6,4,2,6,4,4,4,2,2,4,5,4,5,2,6,4,5,1,3,1,1,1,3,6,6,4,2,3,1,3,2,1,3,2,6,2,5,6,2,1,0
1895,2007-11-26,4,5,5,6,1,1,2,5,5,4,2,5,5,2,5,1,5,1,4,1,3,5,5,5,2,6,1,5,1,3,6,3,5,2,5,5,3,2,2,1,4
2098,2006-02-16,6,1,1,4,5,6,5,4,1,5,5,0,6,5,6,4,5,5,6,3,3,1,5,4,4,3,6,0,2,5,2,6,1,4,6,1,5,4,4,6,6
2297,2006-02-27,3,4,3,4,5,5,4,5,4,4,6,5,5,5,5,6,5,4,4,1,5,1,1,5,5,5,4,4,2,4,4,5,2,3,5,3,2,5,5,5,4
2317,2006-04-08,,,,,,,6,,,,,,,3,,0,,,,5,,,,,,,,,,,,,,,,,,,,,1
2381,2005-12-11,5,2,4,3,3,3,4,4,0,6,4,2,5,3,6,4,0,3,4,2,5,1,5,5,6,6,2,2,5,6,5,2,1,6,6,1,5,6,5,5,3
2415,2006-08-16,6,3,3,6,3,3,2,3,1,2,2,4,3,5,6,5,4,3,2,3,2,1,6,6,6,2,3,2,5,3,1,4,4,3,6,3,5,1,3,3,2
2643,2005-11-30,6,3,2,6,6,6,3,2,1,5,1,5,6,3,1,6,6,6,6,3,2,4,5,6,6,4,6,3,3,5,1,6,0,4,6,2,1,1,3,6,6
2675,2005-11-29,0,3,4,6,1,0,6,6,3,3,2,3,0,6,3,0,0,5,0,6,3,1,1,1,6,6,1,5,3,3,5,3,3,5,6,3,2,0,6,0,2
2760,2006-03-01,6,2,4,6,0,3,6,5,1,5,5,1,3,6,6,3,5,3,5,2,2,1,4,4,5,5,3,1,4,4,3,2,2,5,6,1,6,4,6,2,3
3181,2005-10-27,6,1,6,5,1,4,1,2,4,5,5,5,3,2,5,1,5,4,4,0,1,2,1,5,4,6,2,4,2,4,1,4,5,1,5,5,5,4,6,4,5
3230,2005-11-09,2,1,2,2,2,5,4,5,1,5,5,3,4,5,5,5,3,3,3,4,4,2,5,4,2,4,4,1,3,3,4,4,2,4,3,2,5,3,5,4,5
3241,2005-10-31,5,2,4,5,1,1,3,3,2,5,6,5,2,4,6,1,4,3,5,2,3,1,6,5,6,5,5,1,1,5,0,0,4,3,6,5,5,2,4,2,3
3262,2005-11-04,6,5,3,6,4,4,4,3,1,5,5,4,2,3,4,2,4,3,3,3,2,1,4,4,6,6,2,2,3,4,3,2,2,4,6,2,5,3,5,5,5
3267,2005-11-12,5,4,3,5,1,6,5,5,0,6,6,1,5,5,6,6,5,6,6,4,4,3,6,5,6,4,5,0,4,1,4,5,1,5,5,1,6,5,5,5,5
3301,2008-03-25,5,3,4,5,4,3,3,3,2,4,5,3,4,3,3,5,5,4,4,2,3,3,4,5,5,4,4,2,1,4,2,5,3,2,4,2,4,5,4,5,4
3630,2006-08-30,5,1,1,6,4,5,5,5,0,5,5,1,4,5,6,5,5,4,5,3,5,1,5,5,0,5,3,0,5,4,5,5,1,5,6,1,5,5,5,5,6
4355,2006-06-11,6,5,2,6,3,4,5,4,3,5,4,6,4,5,6,5,6,5,4,6,2,0,6,5,6,5,3,4,2,3,2,4,4,5,6,4,4,4,4,2,4
4490,2005-12-15,5,3,3,3,0,4,2,2,2,5,6,3,1,3,5,5,5,3,5,5,2,4,4,5,5,5,1,3,1,5,2,3,2,5,5,1,5,5,4,4,4
4563,2005-11-14,5,1,4,4,4,5,4,5,0,5,5,5,4,5,5,5,5,3,4,5,5,1,5,5,5,4,5,1,5,5,3,5,1,5,5,1,5,4,5,5,5
4651,2006-06-04,5,4,5,4,1,1,3,2,4,3,5,5,5,3,5,1,4,0,1,3,2,6,5,3,3,4,4,5,2,3,1,3,5,2,4,6,5,2,4,2,4
4676,2006-05-04,5,1,2,0,4,5,2,5,3,6,4,2,5,5,5,4,5,5,5,5,4,1,5,5,0,4,5,1,4,1,2,4,1,4,1,1,5,5,6,5,4
4891,2006-12-18,6,3,1,4,0,1,5,4,1,6,6,5,1,4,6,2,5,2,5,5,5,1,4,6,4,5,1,1,3,3,4,1,2,5,5,4,5,4,4,2,5
4961,2006-04-01,3,1,4,6,2,4,2,4,2,4,4,4,4,4,5,5,3,4,4,3,2,2,5,4,4,6,5,2,2,2,2,3,1,4,6,2,4,5,4,5,4
