Target,Race,Gender,Age
AF-203,A,F,22.75862069
AF-204,A,F,30.13793103
AF-205,A,F,26.59259259
AF-209,A,F,22.56
AF-211,A,F,22.5
AF-212,A,F,23.85714286
AF-222,A,F,24.86206897
AF-224,A,F,28.76
AF-228,A,F,24.76923077
AF-229,A,F,25.85185185
AF-230,A,F,24.14814815
AF-245,A,F,30.22222222
AF-248,A,F,34.17241379
AF-250,A,F,25.10344828
AF-255,A,F,26
AM-201,A,M,23.8
AM-202,A,M,26.22222222
AM-204,A,M,23.91666667
AM-205,A,M,34.83333333
AM-209,A,M,27.75
AM-210,A,M,21.04761905
AM-211,A,M,26.32142857
AM-225,A,M,24.68
AM-229,A,M,24.76923077
AM-231,A,M,26.93103448
AM-237,A,M,29.44
AM-238,A,M,27.42307692
AM-243,A,M,23.88
AM-246,A,M,29.07142857
AM-250,A,M,25.88461538
BF-003,B,F,25.80898876
BF-004,B,F,26.98369565
BF-005,B,F,28.12087912
BF-007,B,F,30.51086957
BF-008,B,F,24.57471264
BF-018,B,F,26.9010989
BF-020,B,F,26.45744681
BF-035,B,F,19
BF-047,B,F,34.21348315
BF-201,B,F,27.4
BF-210,B,F,24
BF-241,B,F,25.32142857
BF-244,B,F,29.10714286
BF-247,B,F,25.48148148
BF-250,B,F,31.0952381
BM-002,B,M,25.10638298
BM-017,B,M,32.8172043
BM-027,B,M,24.14814815
BM-030,B,M,25.26041667
BM-032,B,M,34.54494382
BM-040,B,M,26.95238095
BM-202,B,M,29.66666667
BM-210,B,M,29.22580645
BM-211,B,M,31.51851852
BM-219,B,M,24.22222222
BM-226,B,M,21.77777778
BM-227,B,M,24.51851852
BM-238,B,M,24.48148148
BM-250,B,M,34.93103448
BM-253,B,M,31.875
LF-202,L,F,29.85185185
LF-206,L,F,26.23076923
LF-208,L,F,24.64285714
LF-209,L,F,21.73076923
LF-210,L,F,24.80769231
LF-213,L,F,25.8
LF-216,L,F,24.72
LF-219,L,F,24.96153846
LF-220,L,F,22.16
LF-226,L,F,25.38461538
LF-228,L,F,24.5862069
LF-235,L,F,24.73076923
LF-241,L,F,29.85185185
LF-253,L,F,27.46153846
LF-254,L,F,22.125
LM-207,L,M,20.5
LM-210,L,M,29.48148148
LM-211,L,M,19.35714286
LM-214,L,M,27.5
LM-217,L,M,33.44
LM-219,L,M,26.7037037
LM-224,L,M,26.55172414
LM-227,L,M,32.27586207
LM-231,L,M,27.92
LM-241,L,M,26.14285714
LM-243,L,M,21.64285714
LM-247,L,M,25.41666667
LM-250,L,M,22.64285714
LM-251,L,M,26.44
LM-252,L,M,28.66666667
WF-007,W,F,21.79787234
WF-012,W,F,23.17525773
WF-015,W,F,24.21111111
WF-020,W,F,26.02222222
WF-030,W,F,24.17977528
WF-031,W,F,23.23529412
WF-205,W,F,27.56
WF-208,W,F,26.44444444
WF-210,W,F,27.38461538
WF-211,W,F,21.55172414
WF-215,W,F,30.64
WF-220,W,F,24.4137931
WF-226,W,F,32.23809524
WF-242,W,F,27.28571429
WF-252,W,F,26.46428571
WM-003,W,M,23.3452381
WM-009,W,M,23.69565217
WM-016,W,M,30.39534884
WM-039,W,M,19.23863636
WM-211,W,M,27.79310345
WM-213,W,M,26.36
WM-216,W,M,30.88461538
WM-217,W,M,18.73076923
WM-229,W,M,24.69565217
WM-236,W,M,20.73076923
WM-237,W,M,29
WM-242,W,M,23.06896552
WM-243,W,M,31.44
WM-244,W,M,30.51851852
WM-256,W,M,30.96153846
