user_id,sex,birthyear
0,NA,NA
1,female,1976
2,male,1985
5,male,1980
8,male,1968
9,male,1972
10,female,1978
17,female,1981
19,female,1980
20,male,1964
21,male,1945
22,male,1973
23,female,1985
24,female,1982
27,female,1965
30,female,1985
31,male,1974
32,male,1984
33,female,1954
34,female,1975
35,female,1985
37,female,1986
47,female,1986
51,female,1985
67,female,1986
78,female,1959
82,female,1956
84,male,1984
98,female,1985
102,female,1984
103,female,1984
106,female,1984
108,male,1985
137,female,1985
139,female,1984
140,male,1985
142,female,1985
144,female,1985
168,female,1985
169,female,1987
172,male,1985
173,male,1980
194,female,1963
197,female,1986
202,male,1983
204,NA,NA
205,male,1986
207,female,1983
210,female,1984
213,female,1986
219,male,1983
224,female,1984
233,female,1986
235,male,1986
238,female,1986
246,male,1979
247,female,1981
248,male,1986
252,male,1985
253,female,1986
256,female,1985
260,male,1985
262,female,1985
269,female,1985
271,female,1981
273,male,1986
274,female,1986
275,female,1980
278,female,1984
283,female,1986
286,female,1986
298,female,1988
325,female,1985
332,male,1985
341,male,1951
344,male,1986
352,male,1977
355,male,1985
368,female,1954
369,male,1964
372,male,1963
373,female,1969
374,male,1975
377,female,1984
379,female,1973
383,female,1985
384,female,1982
390,female,1984
393,female,1979
394,female,1979
397,female,1989
398,female,1979
400,female,1981
402,male,1981
403,female,1966
404,female,1982
407,female,1980
422,male,1983
424,male,1984
426,male,1985
428,female,1986
429,female,1985
436,female,1983
437,female,1986
450,female,1986
459,female,1971
461,female,1985
464,male,1987
466,female,1981
467,female,1957
469,female,1983
478,female,1979
482,female,1981
487,female,1983
488,female,1984
495,female,1983
496,female,1984
497,female,1986
504,female,1983
508,female,1984
512,female,1985
528,female,1986
536,male,1984
539,female,1984
543,female,1981
547,female,1986
554,male,1982
561,female,1986
564,female,1980
572,female,1986
574,female,1968
581,female,1981
584,female,1986
587,male,1970
592,female,1986
597,male,1985
609,male,1987
628,female,1987
635,female,1986
643,female,1986
648,female,1975
681,female,1968
685,female,1980
695,female,1982
716,male,1982
717,male,1984
727,male,1978
730,female,1983
749,male,1989
751,female,1987
752,female,1981
757,male,1981
768,female,1977
770,male,1968
771,female,1982
772,female,1986
775,male,1967
777,female,1967
778,female,1970
785,female,1986
787,female,1981
789,female,1981
791,male,1977
793,female,1984
797,female,1968
804,male,1984
805,male,1979
806,male,1967
807,male,1981
815,female,1986
817,female,1972
818,female,1981
820,female,1969
827,female,1973
830,male,1983
833,female,1987
837,female,1984
838,male,1984
851,female,1974
860,female,1980
862,female,1958
868,male,1973
871,female,1980
876,female,1974
878,male,1979
881,male,1974
882,female,1981
896,female,1958
897,female,1972
899,female,1975
902,female,1980
910,female,1977
913,male,1983
926,female,1988
933,female,1987
937,female,1983
938,female,1986
942,male,1988
943,male,1988
946,female,1987
948,male,1960
952,female,1959
953,female,1986
955,female,1979
956,male,1969
962,female,1984
966,male,1975
970,female,1990
971,male,1974
989,female,1979
993,male,1979
995,male,1985
996,female,1958
1003,male,1975
1007,female,1975
1008,male,1983
1011,male,1979
1013,male,1975
1014,male,1974
1016,female,1975
1017,female,1976
1018,female,1975
1019,female,1970
1022,female,1963
1023,male,1967
1025,male,1963
1026,female,1979
1031,male,1958
1032,female,1978
1036,female,1981
1037,female,1978
1040,male,1982
1041,female,1976
1042,male,1979
1045,female,1982
1049,male,1981
1052,male,1963
1060,female,1980
1063,female,1981
1065,female,1989
1069,male,1964
1073,male,1981
1080,female,1955
1083,male,1968
1086,male,1979
1089,male,1972
1090,female,1968
1091,female,1996
1098,male,1979
1099,female,1982
1101,female,1980
1104,female,1985
1111,female,1957
1126,male,1983
1128,male,1969
1148,male,1983
1152,male,1983
1156,female,1971
1158,male,1980
1160,male,1980
1162,female,1985
1169,female,1985
1170,male,1979
1171,female,1976
1178,female,1977
1179,male,1967
1182,male,1982
1184,female,1982
1186,female,1983
1187,female,1972
1192,female,1986
1193,female,1986
1197,female,1984
1199,female,1982
1207,female,1985
1213,male,1982
1214,female,1985
1215,male,1980
1221,female,1985
1225,male,1986
1228,female,1986
1233,female,1974
1258,male,1973
1259,male,1986
1283,female,1986
1285,female,1986
1287,male,1986
1292,male,1987
1297,female,1986
1303,male,1986
1322,female,1972
1330,female,1985
1331,female,1987
1332,female,1986
1336,female,1982
1353,male,1982
1362,female,1953
1365,female,1979
1367,male,1977
1378,female,1977
1386,male,1977
