user_id,sex,age,id,starttime,endtime,Q01,Q02,Q03R,Q04R,Q05R,Q06,Q07R,Q08,Q09,Q10,Q11R,Q12,Q13,Q14,Q15,Q16,Q17R,Q18,Q19,Q20,Q21,Q22
128445,female,18.1,7,2008-02-04T12:28:58Z,2008-02-04T12:30:38Z,slightly agree,strongly agree,slightly agree,strongly disagree,strongly disagree,slightly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,slightly disagree,slightly disagree,strongly agree,slightly agree,strongly agree,strongly disagree,strongly agree,slightly agree,strongly agree,strongly agree,slightly disagree
128443,female,18.1,8,2008-02-04T12:35:55Z,2008-02-04T12:38:09Z,slightly agree,slightly agree,slightly disagree,strongly disagree,slightly disagree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,strongly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree
128453,female,22,9,2008-02-04T13:32:43Z,2008-02-04T13:34:25Z,slightly agree,slightly agree,strongly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,slightly agree,slightly agree,strongly agree,strongly agree,strongly disagree,slightly agree,slightly agree,strongly agree,slightly disagree,slightly agree
128634,female,20,10,2008-02-05T10:18:16Z,2008-02-05T10:20:11Z,slightly agree,strongly agree,slightly agree,strongly disagree,slightly disagree,slightly agree,strongly disagree,slightly agree,slightly agree,strongly agree,strongly disagree,slightly agree,strongly agree,slightly agree,strongly agree,slightly agree,strongly disagree,slightly agree,slightly agree,strongly agree,slightly agree,slightly agree
128637,female,46.1,11,2008-02-05T10:37:55Z,2008-02-05T10:39:54Z,strongly agree,slightly agree,slightly agree,slightly disagree,strongly disagree,strongly agree,strongly disagree,slightly agree,strongly agree,strongly agree,slightly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,slightly agree,strongly agree,strongly agree,strongly agree
128655,female,18.9,12,2008-02-05T12:05:57Z,2008-02-05T12:07:21Z,slightly agree,slightly agree,NA,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly disagree
128656,female,18.8,13,2008-02-05T12:31:04Z,2008-02-05T12:33:15Z,strongly agree,slightly agree,strongly disagree,strongly disagree,slightly disagree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,strongly disagree,slightly agree,slightly agree,strongly agree,slightly agree,strongly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree
128690,female,18.9,14,2008-02-05T15:04:09Z,2008-02-05T15:06:17Z,strongly agree,slightly agree,slightly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,slightly agree
128847,female,20.6,16,2008-02-06T10:51:33Z,2008-02-06T10:53:11Z,slightly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree
128858,female,18.1,17,2008-02-06T11:31:23Z,2008-02-06T11:33:24Z,slightly agree,slightly agree,slightly disagree,strongly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,strongly agree,strongly agree,strongly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree
128866,female,20.4,18,2008-02-06T12:20:00Z,2008-02-06T12:22:28Z,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
106409,female,19.9,19,2008-02-06T13:01:48Z,2008-02-06T13:03:43Z,strongly agree,strongly agree,strongly disagree,strongly disagree,slightly disagree,strongly agree,strongly disagree,slightly disagree,strongly agree,strongly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
128873,female,18.3,20,2008-02-06T13:14:20Z,2008-02-06T13:16:29Z,strongly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,strongly agree,slightly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree
128876,female,19.2,21,2008-02-06T13:52:47Z,2008-02-06T13:55:15Z,strongly agree,strongly agree,slightly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,slightly agree,strongly agree,slightly agree,strongly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree
