user_id,sex,age,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
508844,male,19.0,empty,light,cheery ,sad,focused ,creative ,lost,too open,not interesting ,hiding something,closed,depressing,confused ,nicer,dull,light brown ,angry ,deep,mad,blue,dull,upset,upset,depressing ,art ,deep,boring,mixed,lost,dull,empty ,dark,attractive ,happy,very mad,open,focused ,brown ,sad,focused ,light blue,"intersting,cute",upset ,interesting ,lost,determined ,confused ,full,open,no
508966,female,20.4,bored,cafinated,nice,off kilter,bitchy,average,slightly dejected,surprised,kinda pretty,engaged,tired frayed sweet,sad,average,off,present,annoyed,agresive hard big,average,aver as ge,mildlybsurprised,indifferent,indifference,plotting,sympathetic,indifferent,direct,soft,irritable,blunt,bored dry,focused,intense focused cold,submissive,blank absent uninvolved,unmoved,listening with concern,daring challenging calculating,intense,searching pretty,demandin expectant,attentive ,off,uninterested,bright,unfocused,confident confrontational ,judging,mean,almost flirty,confused questioning
508976,female,24.8,Dark high on drugs,Brown bug eyed,Greenish brown bangs,Dark look diff directions,Mexican eyes alret,Gray sketch,Too far brown,Gray old suspicious,Dark fake lashes,Blue pretty older,Mexican dark common,Brown dead blank,Dark big blank,Black girl dark,Looking for approval,Dark far apart,Weird brown bigger,Asian dark slanted,Small dark dead,Blue blank stare,Black girl blsck,Dark tiny bitchy,Brown Asian looking,Blue gray skeptical,Dark plain small,Mexican dark big,Asian bloodshot,Gray blue white,Blood shot brown,Eyes look diff ways,Hazel maybe brown,Weird color alert,Blue crazy eyebrows,Pale blue trusting,Dark blue drunk,Blue bags brows,Dark cock eyed,Dead dark saggy,Blue trailer face,Blue alien spaced,Blue sassy tiny,Blue uneven face,Black girl dark,Asian cross eyed ,Too far apart,Brown green pretty,Mexican eyed indian,Blue drinker old,Blue cock eyed,White girl dark
509196,female,14.6,soft brown,"green, brown",green,hurt,Rich Brown,grey blue,soft,shiny,"Brown, calm",Blue,perfect,"blue, grey, tan",amazing,"Brown, Rich",Sweet,"Pale brown, nice",gold,"brown, thin, beautiful",brown,soft,"tired, brown",brown,"brown, mean",Amazing,weeeeeeeeee,"grey blue, small","Brown, Pretty","Grey, Blue, Green",Brown,"brown, clean",meh,soft,"Blue, determined",perfect,"blind,","Clear, Blue",squinty,hopeful,"Scared, uncomfertable, grey","Grey, blue",clear blue,amazing,"Serious, pretty","sweet, preppy",Perfect,tan,"Dark, Deep, amazing","Blue, Crazy","Blue, clear","Confused, nervous, scared"
509286,female,16.7,brown,big,oval,brown,brown,blue,"brown,droopy",blue,long eyelashes,blue,big,brown,brown,brown,brown,small,brown,small,brown,"lobsided,bluish","angry,brown",brown,squinty,small,"round, close",big,brown,small,brown,big,"surprised,blue",blue,blue,small,old,tired,squinty,sad,makeuo,big,round,blue,small,round,big,close together,eyeliner,blue,blue,norma
509400,male,,wide,big,green,indian,nice,crazy,shy,blue,wide,happy,good,small,calm,small,bright,asian,?,asian,tired,away from eachother,sleepy,beautiful,beautiful asian,very small,big,angry,asian,green,nice,special,?,blue,serious,not very beautiful,blue,blue,sweet,weird,blue,blue,small blue,sharp,angry,big asian,sleepy,confident,indian,blur,wide,sad
509503,female,36.2,brown tired ,hazel wide ,hazel pleased older,brown tired,brown elongated tired,blue smirking,hazel downturned,blue tense,hazel puffy sad,blue alert ,hazel staring ,hazel sad tired,light brown wide,brown ,blue healthy,brown attentive,green hazel displeased,brown oval thoughtful,brown hard,green downturned,dark brown tired,brown round kind,brown squinting,green sad kind,light brown rested,hazel sad,brown impatient,hazel mad,brown distracted ,brown sleepless,blue open judging,blue oval blownpupils,blue vague ,blue plain,green judgemental,blue tired sad,light brown squinting,brown crooked tired,blue tired blank,blue large,blue un-rested friendly,blue green commanding,brown mean ,brown alert ,brown round tired,hazel snide,brown tired oval,blue older,blue icy madeup,lightbrown rested
509665,female,20.7,far apart,big,average,crossed eye,pretty shape,pretty color/ shape,nice shape,average/curious,love lashes,nice shape,nice shape,nice shape,big/ round,pretty shape,round/ big,small,big/ engaging,nice shape,average,uneven,unhappy/drugged,dark,in deep thought,small/ beady/ bored,round/ big,pretty shape,far apart/ small,small/ pretty color,pretty,round/ dark ,pretty shape,staring into space,pretty color/ shape,pretty color,nice shape/ great lashes,pretty color,beautiful/ interesting/ engaging,pretty shape/ crossed,big/ round,far apart,pretty/ big/ engaging ,really pretty/ nice shape,nice shape,far apart/ round,not enthused  ,pretty/ big/interested,big/ too dark,droopy/ pretty color,beautiful color/shape,big
509787,female,5.0,tired,"alert, scared",happy,"bored, serious",average,happy,scared,alert,alert,busy,happy,bored,average,angry,annoyed,annoyed,alert,monotone,average,attentive,"bored, tired",average,angry,bored,alert,"serious, angry, sad",understanding,angry,serious,average,average,average,annoyed,happy,thinking,annoyed,"annoyed, angry",average,upset,alertive,not believing,average,bored,happy,tired,serioud,sad,thinking,happy,acknowledgement
509848,male,18.2,tired,wide,relaxed,crooked,nice,content,wide,exaggerated,angry,normal,angry,bored,plain,almond,round,peircing,lazy,aloof,normal,droopy,flat,tired,suspicous,small,bug,very angry,angled,annoyed,small,crooked,almond,staring,flat,crooked,watching,annoyed,calming,focused,sad,big,loss of words,jennifer lawrence,relaxed,small,tired,focused,Big,worried,happy,crooked
510008,female,17.4,bored,all-seeing,happy,non-linear,concentration,determined,concerned eyes,surprised,unconcerned,happy,small,exhausted,disgusteda,wide-set,proud-set,bored eyes,poignant,tired,tired,curious,bored,tired,suspicious,close-set,child-like,unamused,wide-set,angry,indifferent eyes,wide-set,average,wide-set,concerned,pale eyes,focused eyes,mildly surprised,suspicious eyes,off-kilter,concerned,wide-set,mirrored,gorgeous,narrow-eyed,questioning eyes,tired,vengeful,wide-eyed,upset,all-knowing,"""you really just did that?"""
