user_id,sex,age,id,starttime,endtime,Q01,Q02,Q03R,Q04R,Q05,Q06,Q07R,Q08,Q09R,Q10R,Q11R,Q12R,Q13,Q14,Q15R,Q16,Q17R,Q18,Q19R,Q20R,Q21,Q22,Q23R,Q24,Q25R
128445,female,18.1,7,2008-02-04T12:32:02Z,2008-02-04T12:34:29Z,strongly agree,strongly disagree,strongly disagree,slightly disagree,strongly disagree,strongly disagree,strongly disagree,slightly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,slightly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,slightly agree,strongly agree,strongly disagree,strongly disagree,slightly disagree,strongly agree,slightly agree,slightly disagree
128443,female,18.1,8,2008-02-04T12:44:09Z,2008-02-04T12:46:42Z,slightly disagree,strongly disagree,strongly agree,slightly disagree,strongly disagree,strongly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,slightly agree,strongly disagree,slightly agree,strongly agree,slightly agree,slightly agree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree
128453,female,22,9,2008-02-04T13:39:41Z,2008-02-04T13:42:02Z,slightly agree,strongly disagree,strongly agree,slightly disagree,strongly disagree,slightly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,slightly disagree,strongly agree,slightly disagree,slightly agree,slightly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,slightly agree,strongly disagree,slightly agree,strongly agree,slightly disagree,slightly agree
128634,female,20,10,2008-02-05T10:09:24Z,2008-02-05T10:11:53Z,slightly agree,strongly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,strongly agree,strongly disagree,slightly agree,slightly agree,strongly agree,slightly agree,slightly disagree,strongly disagree,strongly disagree,slightly agree,slightly agree,strongly disagree,slightly disagree,strongly disagree,slightly agree,strongly agree,strongly disagree,slightly agree
128637,female,46.1,11,2008-02-05T10:39:54Z,2008-02-05T10:42:20Z,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,strongly disagree,strongly disagree,strongly disagree,slightly disagree,strongly disagree,slightly agree,slightly agree,slightly disagree,slightly disagree,strongly disagree,NA,slightly disagree
128655,female,18.9,12,2008-02-05T12:09:01Z,2008-02-05T12:11:09Z,slightly disagree,slightly disagree,slightly agree,strongly disagree,slightly agree,slightly disagree,strongly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly agree,strongly disagree,slightly disagree,slightly disagree,strongly disagree,slightly disagree,strongly agree,slightly disagree,slightly agree,slightly agree,strongly disagree,slightly agree,strongly disagree,slightly agree
128656,female,18.8,13,2008-02-05T12:26:30Z,2008-02-05T12:29:20Z,slightly agree,strongly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly disagree,strongly agree,strongly agree
128690,female,18.9,14,2008-02-05T15:14:41Z,2008-02-05T15:17:02Z,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree
128847,female,20.6,16,2008-02-06T10:53:11Z,2008-02-06T10:55:03Z,strongly agree,slightly agree,slightly disagree,slightly agree,slightly disagree,strongly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree
128858,female,18.1,17,2008-02-06T11:36:58Z,2008-02-06T11:39:05Z,slightly agree,slightly disagree,strongly agree,slightly disagree,strongly disagree,strongly disagree,slightly disagree,strongly disagree,slightly disagree,strongly agree,slightly agree,strongly agree,strongly disagree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,strongly disagree,strongly disagree,slightly agree,slightly disagree,slightly agree
