user_id,sex,age,f_easian,f_wasian,f_white,m_easian,m_wasian,m_white
52411,female,33.9,"2,3,1,4,5","2,3,1,4,5","2,1,3,4,5","5,4,2,3,1","4,3,5,2,1","4,5,3,2,1"
52418,male,18.0,"2,3,4,1,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,1,3,4,5"
52413,male,28.3,"5,4,3,2,1","5,4,3,2,1","5,4,1,2,3","1,2,3,4,5","5,4,1,2,3","1,5,2,4,3"
52423,female,19.0,"1,2,3,4,5","2,1,3,4,5","1,2,3,4,5","4,3,2,5,1","3,4,2,5,1","4,3,2,5,1"
52424,female,13.9,"2,3,1,4,5","2,1,3,4,5","1,4,2,3,5","3,2,1,5,4","3,2,1,4,5","4,3,2,5,1"
52425,female,22.3,"3,1,2,4,5","2,3,1,4,5","3,2,1,4,5","2,1,3,4,5","1,3,2,4,5","3,1,2,4,5"
52426,male,28.4,"5,4,1,3,2","3,2,1,4,5","2,1,3,4,5","3,1,5,2,4","2,3,4,1,5","3,2,5,4,1"
52429,male,29.3,"3,2,4,5,1","2,3,4,1,5","1,3,2,4,5","2,4,1,3,5","1,2,3,4,5","3,2,1,4,5"
52430,male,21.6,"1,2,3,4,5","2,1,3,4,5","1,2,3,4,5","1,2,5,4,3","3,4,2,1,5","3,4,2,1,5"
52427,male,22.0,"3,2,4,1,5","1,3,2,4,5","1,2,3,4,5","2,1,3,5,4","1,2,3,4,5","3,2,4,5,1"
52432,female,15.1,"2,3,4,1,5","1,2,3,4,5","1,3,2,4,5","2,3,1,5,4","2,3,1,4,5","3,4,1,2,5"
52433,female,18.4,"2,3,4,1,5","3,2,4,1,5","2,1,3,4,5","3,2,4,1,5","2,3,1,4,5","2,3,1,4,5"
52435,female,23.2,"2,1,3,4,5","2,1,3,4,5","2,1,3,4,5","3,4,5,2,1","3,2,4,1,5","3,4,2,5,1"
49077,female,25.4,"1,2,3,4,5","2,1,3,4,5","2,3,1,4,5","5,4,3,2,1","3,4,2,1,5","3,4,2,5,1"
52437,female,19.2,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","4,1,2,3,5","1,2,3,4,5"
52438,male,18.3,"5,3,2,4,1","5,3,2,4,1","1,3,2,5,4","2,4,1,5,3","3,2,5,1,4","2,4,3,1,5"
52442,female,28.3,"5,4,3,2,1","4,3,1,5,2","3,2,5,4,1","2,4,3,5,1","4,5,2,1,3","4,5,2,3,1"
14000,female,20.5,"1,2,4,3,5","2,1,3,4,5","2,3,1,4,5","4,3,5,1,2","3,4,2,1,5","3,4,2,5,1"
52445,female,18.9,"1,2,3,4,5","2,1,3,4,5","1,2,3,4,5","3,2,4,5,1","3,2,4,1,5","3,2,1,4,5"
52448,female,22.7,"1,2,3,4,5","2,1,3,4,5","2,3,1,4,5","3,1,2,4,5","3,4,1,2,5","3,2,1,4,5"
52446,male,24.1,"1,3,2,4,5","2,1,3,4,5","2,1,3,4,5","3,4,2,5,1","3,2,4,5,1","3,2,4,5,1"
52451,male,20.4,"3,2,4,5,1","2,1,3,4,5","2,1,3,4,5","3,4,2,5,1","3,2,1,4,5","2,3,1,4,5"
52453,male,25.6,"3,2,5,1,4","2,1,3,4,5","2,1,3,4,5","4,2,3,5,1","1,2,4,3,5","1,5,2,3,4"
52455,female,20.1,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,3,1,4,5","3,2,1,4,5","3,2,1,4,5"
52450,female,32.6,"2,3,4,1,5","1,2,3,4,5","1,2,3,4,5","3,2,4,1,5","3,2,4,1,5","4,3,5,2,1"
13283,female,18.2,"3,4,2,5,1","3,2,1,4,5","2,3,1,4,5","3,5,4,2,1","3,2,4,1,5","4,3,2,5,1"
52462,female,24.5,"1,3,2,4,5","1,2,3,4,5","2,1,3,4,5","4,5,3,1,2","3,2,1,5,4","4,3,2,5,1"
52460,male,8.0,"1,3,2,4,5","2,3,1,4,5","1,2,3,4,5","5,4,2,3,1","3,2,4,1,5","5,2,4,1,3"
52530,female,17.1,"4,2,3,5,1","1,2,3,4,5","1,2,3,4,5","5,4,3,2,1","3,2,4,5,1","3,4,5,2,1"
52531,,,"1,3,2,4,5","1,2,3,4,5","1,2,3,4,5","5,4,3,2,1","3,5,4,2,1","5,3,4,2,1"
52533,female,27.7,"1,3,2,4,5","3,2,4,1,5","1,2,3,4,5","3,5,4,1,2","3,4,2,1,5","5,4,3,2,1"
52536,female,21.9,"1,2,3,4,5","1,3,2,4,5","1,2,3,4,5","3,5,4,2,1","2,3,1,4,5","2,1,3,4,5"
52537,female,20.8,"1,2,3,4,5","2,1,3,5,4","2,1,3,4,5","3,2,1,4,5","3,2,1,4,5","3,2,1,4,5"
52539,female,14.6,"4,1,3,5,2","3,5,4,1,2","3,4,5,2,1","1,3,4,5,2","4,1,3,2,5","5,1,3,4,2"
52540,female,27.8,"3,2,1,4,5","2,1,3,4,5","1,2,3,5,4","5,4,2,3,1","4,3,2,1,5","5,4,3,2,1"
52543,female,27.7,"2,3,4,5,1","3,2,1,4,5","3,1,2,4,5","3,2,1,5,4","2,3,1,4,5","4,3,2,1,5"
52545,male,34.1,"3,4,2,1,5","2,1,3,4,5","3,1,2,4,5","1,2,3,4,5","2,3,4,1,5","5,4,3,2,1"
52547,female,26.5,"3,2,1,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,5,4","2,3,4,1,5","4,3,2,5,1"
52548,male,37.8,"4,3,2,1,5","3,2,1,4,5","2,3,1,4,5","3,2,4,5,1","3,4,2,5,1","3,2,4,5,1"
52552,male,40.9,"3,2,1,4,5","3,2,1,4,5","3,2,1,4,5","4,3,5,2,1","3,4,2,5,1","4,5,3,2,1"
52557,female,20.7,"1,2,4,3,5","2,1,3,4,5","2,1,3,4,5","3,2,4,1,5","3,2,4,1,5","2,3,4,1,5"
52559,female,21.5,"1,2,3,4,5","1,2,3,5,4","1,2,3,4,5","5,2,1,3,4","3,4,2,1,5","5,4,2,3,1"
52558,,,"1,2,3,4,5","2,3,1,4,5","1,2,3,4,5","2,3,4,5,1","2,3,4,1,5","3,2,4,1,5"
52561,female,26.8,"2,1,3,4,5","2,3,1,4,5","2,1,3,4,5","3,4,5,2,1","4,2,3,5,1","4,3,2,5,1"
52562,female,30.7,"2,1,3,4,5","1,2,3,4,5","2,1,3,4,5","2,3,1,4,5","3,1,4,2,5","2,4,3,5,1"
52564,female,17.5,"1,2,4,3,5","1,2,4,5,3","1,2,3,4,5","1,4,3,5,2","3,2,4,1,5","3,2,1,4,5"
52565,female,17.4,"2,1,4,3,5","3,2,4,5,1","2,3,4,5,1","1,3,2,4,5","2,3,1,4,5","3,2,4,5,1"
52566,female,24.3,"2,3,1,4,5","1,2,3,4,5","1,2,3,4,5","3,1,4,5,2","3,4,2,5,1","3,4,2,5,1"
52568,male,27.8,"1,2,4,3,5","3,2,1,4,5","1,2,3,4,5","1,2,3,4,5","4,3,2,1,5","1,2,3,4,5"
52569,female,21.2,"1,3,2,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,1,3,4,5","2,1,3,4,5"
52571,female,17.7,"1,3,2,4,5","1,2,3,4,5","1,2,3,4,5","3,4,5,2,1","3,4,2,5,1","4,3,5,2,1"
52576,female,28.0,"3,1,2,4,5","3,2,1,4,5","3,4,2,1,5","4,2,3,1,5","3,4,2,1,5","3,4,2,1,5"
52580,female,23.0,"1,2,3,5,4","1,2,3,4,5","2,1,3,4,5","4,5,3,2,1","4,2,3,5,1","5,4,3,2,1"
52582,female,20.9,"3,4,2,1,5","2,3,4,1,5","2,1,3,4,5","5,4,3,1,2","3,2,4,1,5","3,4,2,1,5"
52586,female,30.8,"2,1,3,4,5","2,1,3,4,5","2,3,1,4,5","1,4,2,5,3","2,3,1,4,5","2,3,4,1,5"
52587,female,25.2,"2,3,1,4,5","1,2,3,4,5","1,2,3,4,5","3,2,4,1,5","2,3,1,4,5","3,2,4,1,5"
52588,female,24.0,"1,2,3,4,5","1,2,3,4,5","2,1,3,5,4","5,3,2,4,1","3,2,1,4,5","3,4,2,1,5"
52590,female,22.6,"1,2,3,4,5","2,1,3,4,5","2,1,3,4,5","3,4,2,5,1","4,3,2,1,5","2,3,4,1,5"
41641,female,24.1,"2,1,3,4,5","2,3,1,4,5","1,2,3,4,5","2,1,3,4,5","3,2,4,1,5","2,3,1,4,5"
52593,male,18.4,"1,4,2,3,5","1,2,3,4,5","1,3,2,4,5","4,1,3,5,2","1,3,5,2,4","3,4,2,5,1"
52592,female,18.9,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,3,4,5,1","3,2,1,4,5","3,5,4,2,1"
52594,female,22.5,"2,1,3,5,4","1,2,3,4,5","2,1,3,5,4","2,1,3,5,4","2,1,3,4,5","1,2,3,4,5"
52599,female,23.0,"1,2,3,4,5","2,1,3,4,5","1,2,3,4,5","1,2,3,4,5","2,1,3,4,5","2,3,1,4,5"
26082,male,22.3,"3,4,2,5,1","2,1,3,4,5","2,1,3,4,5","4,3,1,2,5","1,2,3,5,4","3,2,4,1,5"
52601,female,28.9,"2,3,4,1,5","2,1,3,4,5","1,2,3,4,5","3,4,2,1,5","2,1,3,5,4","3,4,2,5,1"
52602,male,34.5,"5,2,4,1,3","2,1,5,4,3","3,5,2,1,4","3,2,1,4,5","5,4,3,2,1","5,4,3,2,1"
52604,male,24.9,"4,2,5,3,1","1,2,3,4,5","1,2,3,4,5","4,2,1,5,3","3,2,5,1,4","4,2,5,3,1"
52606,male,26.0,"3,2,1,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
52609,female,22.2,"2,1,3,4,5","1,2,3,4,5","1,2,3,4,5","3,4,5,2,1","3,4,2,1,5","4,3,5,2,1"
43813,male,25.8,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
52612,female,23.9,"1,3,2,4,5","2,3,1,4,5","1,2,3,4,5","4,5,3,2,1","3,2,1,4,5","1,2,5,3,4"
35028,female,46.9,"4,3,2,5,1","2,3,1,4,5","3,2,4,1,5","3,2,5,4,1","4,3,1,2,5","3,4,2,1,5"
52616,male,22.3,"3,1,2,4,5","1,2,3,4,5","1,3,2,4,5","4,2,1,5,3","4,1,2,3,5","5,2,4,1,3"
52617,female,21.8,"4,2,3,5,1","1,2,3,4,5","3,4,2,1,5","2,3,4,5,1","1,2,3,4,5","3,2,1,4,5"
52618,female,22.3,"2,3,1,4,5","1,3,5,4,2","1,4,3,2,5","3,4,5,1,2","4,1,2,5,3","1,4,5,2,3"
52620,male,18.7,"2,3,1,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,3,1,4,5","4,3,5,2,1"
52619,male,26.2,"4,3,2,1,5","3,2,4,1,5","2,1,3,4,5","4,3,1,2,5","2,3,1,4,5","1,2,3,4,5"
52624,male,25.2,"2,1,3,4,5","1,2,3,4,5","1,2,3,4,5","2,5,1,4,3","5,4,1,2,3","4,5,2,1,3"
52623,male,19.6,"2,3,1,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","3,2,5,4,1"
52627,male,19.6,"1,3,2,4,5","1,2,3,4,5","1,3,2,4,5","3,5,2,4,1","1,2,3,4,5","2,3,4,1,5"
52629,,,"2,3,4,5,1","2,3,1,4,5","3,2,1,4,5","2,1,3,4,5","2,3,1,4,5","3,2,1,4,5"
52635,female,19.2,"3,2,1,4,5","2,3,1,4,5","2,1,3,4,5","4,1,3,5,2","2,4,3,1,5","3,2,4,5,1"
52636,male,37.3,"2,4,3,5,1","3,4,2,5,1","2,3,1,4,5","4,2,3,1,5","4,3,1,2,5","3,4,2,1,5"
52637,male,,"1,2,3,4,5","1,2,3,4,5","2,3,1,4,5","1,2,3,4,5","2,1,3,4,5","2,1,3,4,5"
52650,female,18.9,"3,2,1,4,5","1,2,3,4,5","2,1,3,4,5","2,3,1,4,5","1,2,3,5,4","1,2,3,4,5"
52652,male,28.9,"2,1,3,4,5","2,1,3,4,5","1,2,3,4,5","2,1,3,4,5","3,2,1,4,5","3,1,2,4,5"
52648,female,28.9,"2,1,3,4,5","3,5,2,1,4","3,5,2,4,1","4,2,5,3,1","4,3,1,2,5","4,3,1,2,5"
52711,female,20.4,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","3,2,1,4,5","3,4,2,1,5"
52712,female,15.3,"2,3,1,4,5","2,1,3,4,5","4,3,2,5,1","2,1,3,4,5","2,3,1,4,5","3,4,2,1,5"
52713,male,35.9,"3,2,1,4,5","2,1,3,4,5","1,2,3,4,5","2,4,3,1,5","3,2,4,5,1","2,3,4,1,5"
52714,female,22.0,"1,3,2,4,5","1,2,3,4,5","1,2,3,4,5","1,5,4,3,2","4,5,3,1,2","4,2,5,3,1"
52716,male,21.5,"3,1,5,4,2","2,1,3,4,5","4,5,1,3,2","3,1,5,2,4","5,4,3,2,1","2,1,4,3,5"
52717,female,24.9,"3,4,2,5,1","1,2,3,4,5","2,1,3,4,5","4,5,3,2,1","3,2,4,1,5","4,3,5,2,1"
52719,female,22.7,"2,3,1,4,5","2,1,3,4,5","1,2,3,4,5","5,4,3,2,1","4,5,3,2,1","4,3,5,2,1"
52720,female,18.8,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","4,3,1,2,5","3,1,2,4,5","3,2,4,5,1"
52724,female,34.2,"5,2,4,3,1","2,4,1,3,5","1,5,4,3,2","4,2,5,1,3","4,2,3,5,1","5,4,1,3,2"
52723,male,25.3,"3,2,4,5,1","2,1,3,4,5","3,2,4,1,5","3,4,2,5,1","2,3,1,4,5","4,3,5,2,1"
52726,female,27.7,"1,2,3,4,5","2,3,1,4,5","2,1,3,4,5","4,5,3,1,2","4,3,2,5,1","4,2,5,3,1"
52728,female,32.8,"4,3,5,1,2","4,1,2,5,3","1,5,2,3,4","5,4,3,2,1","5,3,2,4,1","2,4,3,1,5"
52727,female,19.2,"4,2,3,1,5","2,1,3,4,5","1,2,3,4,5","3,5,4,2,1","2,3,1,4,5","3,4,2,5,1"
52730,female,20.9,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","3,4,2,5,1","2,3,4,1,5","3,4,2,5,1"
52735,female,49.8,"3,4,2,5,1","3,2,4,1,5","3,2,4,1,5","3,5,4,2,1","3,2,4,1,5","2,3,4,1,5"
52737,male,28.4,"5,4,3,1,2","5,4,3,2,1","5,4,3,2,1","4,5,1,2,3","5,4,1,3,2","5,4,3,1,2"
52739,female,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","3,4,2,1,5","2,1,3,4,5","3,2,1,4,5"
52740,female,18.7,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","5,4,3,1,2","5,4,3,2,1","5,4,3,2,1"
52741,male,25.6,"1,2,3,4,5","2,1,3,4,5","1,2,3,4,5","5,4,3,1,2","3,4,2,1,5","4,5,3,2,1"
52742,female,23.9,"3,2,4,1,5","2,1,3,4,5","2,3,1,4,5","4,3,5,2,1","3,4,2,5,1","4,5,3,2,1"
52744,female,19.5,"2,1,3,4,5","2,1,3,4,5","2,1,3,4,5","5,4,3,1,2","3,4,2,5,1","4,3,5,2,1"
52746,female,24.2,"2,1,3,4,5","2,1,3,4,5","2,1,3,4,5","3,4,2,5,1","3,2,1,4,5","3,2,4,5,1"
52749,female,19.8,"3,2,4,1,5","2,3,1,4,5","3,2,4,1,5","4,3,2,5,1","3,2,4,5,1","3,2,4,5,1"
52751,female,17.3,"4,3,2,1,5","2,3,1,4,5","2,4,3,1,5","2,3,4,1,5","2,3,1,4,5","2,3,1,4,5"
52752,male,28.0,"1,2,3,5,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,3,2,4,5"
52753,female,21.0,"4,3,5,1,2","3,4,1,5,2","5,1,3,4,2","2,3,5,1,4","5,4,1,2,3","2,3,1,5,4"
52756,female,44.9,"2,3,5,4,1","2,4,3,1,5","3,2,1,5,4","5,4,2,3,1","2,3,4,1,5","3,1,2,4,5"
52757,female,20.2,"1,2,4,3,5","1,2,3,4,5","1,2,3,4,5","3,5,4,2,1","3,2,4,1,5","3,2,4,1,5"
52760,female,20.5,"4,3,1,2,5","2,3,1,4,5","3,2,1,4,5","4,5,3,2,1","4,3,2,5,1","4,2,3,5,1"
52759,female,17.0,"2,1,3,5,4","1,2,5,4,3","1,2,3,5,4","4,2,5,1,3","3,2,4,1,5","5,1,4,2,3"
52764,male,26.7,"1,2,3,5,4","3,2,1,4,5","1,2,3,4,5","4,3,2,1,5","3,2,4,5,1","3,4,5,2,1"
52767,female,16.5,"5,2,4,3,1","5,4,3,2,1","5,4,1,3,2","5,3,4,1,2","4,5,2,3,1","5,4,3,2,1"
52689,male,19.6,"1,3,2,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,3,1,4,5","1,2,3,4,5"
52769,male,36.4,"3,5,2,4,1","3,1,4,2,5","4,3,5,2,1","4,3,2,5,1","4,5,1,3,2","4,2,1,5,3"
52771,male,23.2,"3,2,1,5,4","2,1,3,4,5","2,1,3,5,4","2,1,4,3,5","4,2,3,1,5","3,2,4,1,5"
52773,female,38.0,"1,2,3,4,5","2,3,1,4,5","2,1,3,4,5","4,5,3,2,1","2,1,3,4,5","3,4,2,1,5"
52780,female,28.9,"2,1,3,4,5","2,1,3,4,5","1,2,3,4,5","4,3,5,2,1","2,3,1,4,5","3,2,4,1,5"
52781,male,19.7,"2,3,4,1,5","2,3,1,4,5","2,3,1,4,5","4,5,2,3,1","4,5,3,2,1","5,4,3,2,1"
52787,female,17.3,"1,2,3,4,5","2,3,1,4,5","1,2,3,4,5","1,2,3,4,5","3,2,4,1,5","3,4,2,5,1"
52792,female,22.8,"4,3,5,2,1","2,5,1,4,3","1,3,2,4,5","3,5,1,4,2","2,4,3,1,5","4,5,3,2,1"
52793,male,53.6,"1,5,4,2,3","3,1,5,4,2","3,5,1,2,4","2,3,4,1,5","4,5,2,1,3","1,2,5,4,3"
52791,female,24.8,"3,2,4,1,5","1,2,3,4,5","3,2,1,4,5","3,2,4,5,1","2,3,4,1,5","3,4,2,1,5"
52798,female,26.9,"3,1,5,4,2","3,2,4,5,1","3,1,2,5,4","2,1,3,5,4","4,2,5,3,1","3,1,4,5,2"
52800,female,21.2,"1,2,3,4,5","1,2,3,4,5","2,1,3,4,5","4,3,2,1,5","3,4,5,2,1","4,3,2,5,1"
52804,female,32.9,"2,4,5,3,1","3,5,2,1,4","1,2,4,5,3","3,4,5,1,2","3,1,5,4,2","5,4,3,1,2"
52805,male,49.2,"2,1,4,3,5","1,2,3,4,5","1,2,3,4,5","4,5,3,2,1","3,4,2,1,5","2,1,3,4,5"
52807,female,20.9,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","5,1,3,4,2","3,2,4,5,1","2,3,1,5,4"
52811,female,26.7,"2,3,1,4,5","2,1,3,4,5","1,3,2,4,5","1,3,2,4,5","2,1,3,4,5","1,2,3,4,5"
52812,male,31.7,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","4,5,3,2,1","2,3,1,4,5","3,2,1,5,4"
52817,female,21.9,"1,2,4,3,5","1,2,4,3,5","1,4,2,3,5","1,2,3,5,4","3,2,4,1,5","3,4,5,2,1"
