user_id,sex,age,momage,dadage,oldbro,oldsis,youngbro,youngsis,twinbro,twinsis
8,male,38.1,25,27,0,0,0,1,0,0
67,female,19.7,29,31,1,0,0,1,0,0
98,female,19.4,,,1,0,0,1,0,0
103,female,20.6,,,2,0,0,0,0,0
164,female,20.3,24,,0,0,0,0,0,0
233,female,19.3,,,0,2,0,0,0,0
235,male,18.7,,,0,0,1,0,0,0
253,female,19.5,24,25,0,0,1,0,0,0
256,female,19.7,,,1,1,0,0,0,0
271,female,24.5,21,22,0,0,2,2,0,0
298,female,17.7,28,,0,0,1,0,0,0
332,male,19.6,,,1,0,0,0,0,0
426,male,19.2,,,0,0,2,0,0,0
429,female,19.8,,,1,4,0,0,0,0
434,male,18.8,,,1,0,0,0,0,0
436,female,22.1,,,2,0,2,0,0,0
450,female,19.2,,,0,0,0,1,0,0
452,female,19.4,,,1,0,1,1,0,0
474,male,49.4,26,30,0,2,1,0,0,0
514,female,19.0,,,0,0,1,0,0,0
624,female,19.4,27,34,0,0,2,0,0,0
807,male,23.7,,,0,0,0,0,0,0
881,male,32.6,24,25,0,0,2,0,0,0
948,male,45.6,23,28,0,0,0,1,0,0
962,female,20.3,,,0,0,0,1,0,0
993,male,25.3,,,0,0,0,0,0,0
994,female,15.1,,,0,0,1,1,0,0
995,male,19.9,,,0,0,0,0,0,0
996,female,46.8,,,3,0,1,0,0,0
998,female,26.7,,,1,0,0,0,0,0
1008,male,21.8,,,2,0,0,0,0,0
1009,female,24.6,,,0,0,0,3,0,0
1013,male,29.7,,,0,1,0,0,0,0
1014,male,30.4,,,0,0,1,0,0,0
1016,female,29.4,,,0,0,1,0,0,0
1017,female,28.7,,,0,0,0,1,0,0
1019,female,34.2,,,0,0,1,0,0,0
1022,female,41.5,,,0,0,1,0,0,0
1023,male,37.6,,,0,0,0,1,1,0
1024,male,48.2,,,1,0,0,1,0,0
1025,male,42.1,,,0,0,1,1,0,0
1026,female,25.4,,,1,0,0,1,0,0
1037,female,26.6,,,1,0,0,0,0,0
1040,male,23.1,,,0,0,0,1,0,0
1041,female,28.3,,,0,0,0,0,0,0
1042,male,26.1,,,0,0,2,0,0,0
1045,female,22.8,,,0,1,0,0,0,0
1049,male,23.4,,,0,0,0,2,0,0
1052,male,42.8,30,31,1,0,0,0,0,0
1060,female,24.5,,,0,0,0,0,0,0
1065,female,15.8,,,0,0,1,0,0,0
1069,male,40.4,,,4,3,0,0,0,0
1070,female,29.8,,,1,0,1,0,0,0
1075,female,42.2,,,0,0,0,0,0,0
1080,female,49.9,,,0,0,0,0,0,0
1082,female,51.5,,,1,1,0,0,0,0
1083,male,36.5,,,1,1,0,0,0,0
1086,male,25.4,,,0,0,2,0,0,0
1094,female,53.6,,,0,0,0,0,0,0
1098,male,25.5,,,0,1,0,0,0,0
1101,female,24.6,,,0,0,2,2,0,0
1102,female,14.2,,,1,2,0,0,0,0
1103,female,35.7,,,1,1,0,0,0,0
1104,female,19.4,,,2,1,1,0,0,0
1111,female,47.9,,,4,1,2,1,0,0
1119,female,25.2,,,0,0,0,1,0,0
1123,female,26.1,,,0,0,2,0,0,0
1126,male,21.9,,,2,0,0,0,0,0
1148,male,21.6,,,0,1,0,0,0,0
1152,male,21.2,,,0,0,3,2,0,0
1158,male,24.9,,,1,0,0,0,0,0
1160,male,24.7,,,0,0,0,1,0,0
1162,female,19.8,,,0,1,0,1,0,0
1169,female,20.1,,,1,0,1,0,0,0
1170,male,25.4,,,0,0,1,0,0,0
1171,female,28.6,,,0,0,1,0,0,0
1178,female,27.8,,,0,0,1,0,0,0
1179,male,37.1,,,0,1,0,0,0,0
1182,male,22.5,,,0,0,0,0,0,0
1184,female,22.4,,,2,1,0,0,0,0
1186,female,21.7,,,0,0,1,0,0,0
1187,female,32.6,,,0,0,0,0,0,0
1188,female,23.9,,,0,0,0,0,0,0
1192,female,18.6,,,0,1,0,2,0,1
1193,female,19.1,,,0,1,0,0,0,0
1197,female,20.3,,,0,1,0,0,0,0
1199,female,22.6,,,0,0,2,1,0,0
1205,female,22.4,,,1,0,0,0,0,0
1207,female,19.5,,,0,0,1,0,0,0
1214,female,19.9,,,1,2,0,0,0,0
1215,male,25.0,,,0,1,0,0,0,0
1221,female,19.4,,,0,0,0,1,0,0
1225,male,18.9,,,0,0,0,0,0,0
1259,male,18.9,,,1,0,0,1,0,0
1283,female,18.2,,,1,0,1,0,0,0
1285,female,19.1,32,33,0,1,0,0,0,0
1292,male,18.8,27,31,0,0,2,0,0,0
1295,male,23.7,,,2,0,0,0,0,0
1301,male,20.8,23,33,0,0,1,0,0,0
1322,female,32.5,,,0,1,0,1,0,0
1330,female,19.4,,,1,0,0,0,0,0
1334,male,20.4,,,1,0,0,0,0,0
1336,female,23.1,,,0,0,0,0,0,0
1365,female,26.1,,,0,0,1,0,0,0
1366,female,26.6,,,0,1,0,0,0,0
1367,male,27.4,,,0,0,2,0,0,0
1378,female,27.5,,,0,0,1,0,0,0
1384,female,16.9,,,2,1,0,0,0,0
1386,male,28.0,,,0,0,0,1,0,0
1411,male,41.7,,,2,1,0,0,0,0
1436,female,17.7,,,0,0,3,0,0,0
1482,female,37.5,,,0,0,0,1,0,0
1488,female,20.0,,,1,0,1,0,0,0
