This is my messy dataset

junk,order,score,letter,good,min_max,date
junk,1,-1,a,1,1 - 2,2020-01-1

junk,missing,0.72,b,1,2 - 3,2020-01-2

junk,3,-0.62,c,FALSE,3 - 4,2020-01-3

junk,4,2.03,d,T,4 - 5,2020-01-4

junk,5,NA,e,1,5 - 6,2020-01-5

junk,6,0.99,f,0,6 - 7,2020-01-6

junk,7,0.03,g,T,7 - 8,2020-01-7

junk,8,0.67,h,TRUE,8 - 9,2020-01-8

junk,9,0.57,i,1,9 - 10,2020-01-9

junk,10,0.9,j,T,10 - 11,2020-01-10

junk,11,-1.55,k,F,11 - 12,2020-01-11

junk,12,NA,l,FALSE,12 - 13,2020-01-12

junk,13,0.15,m,T,13 - 14,2020-01-13

junk,14,-0.66,n,TRUE,14 - 15,2020-01-14

junk,15,-0.99,o,1,15 - 16,2020-01-15

junk,16,1.97,p,T,16 - 17,2020-01-16

junk,17,-0.44,q,TRUE,17 - 18,2020-01-17

junk,18,-0.9,r,F,18 - 19,2020-01-18

junk,19,-0.15,s,FALSE,19 - 20,2020-01-19

junk,20,-0.83,t,0,20 - 21,2020-01-20

junk,21,1.99,u,T,21 - 22,2020-01-21

junk,22,0.04,v,F,22 - 23,2020-01-22

junk,23,-0.4,w,F,23 - 24,2020-01-23

junk,24,-0.47,x,0,24 - 25,2020-01-24

junk,25,-0.41,y,TRUE,25 - 26,2020-01-25

junk,26,0.68,z,0,26 - 27,2020-01-26


