id,pet,country,score,age,weight
S001,dog,UK,90,6,19.789319752727295
S002,dog,UK,107,8,20.01422088231833
S003,dog,UK,94,2,19.1486291053504
S004,dog,UK,120,10,19.569529192010165
S005,dog,UK,111,4,21.392587071780316
S006,dog,UK,110,8,21.318796169243335
S007,dog,UK,100,9,19.648191447912016
S008,dog,UK,107,8,21.959085174723583
S009,dog,UK,106,6,17.628499724799337
S010,dog,UK,109,11,22.096307584068963
S011,dog,UK,85,5,18.442266948263175
S012,dog,UK,110,9,21.083329550038222
S013,dog,UK,102,1,13.935875940279734
S014,dog,UK,93,10,20.97187701930004
S015,dog,UK,90,7,20.22432441725727
S016,dog,UK,120,8,20.323325901622837
S017,dog,UK,96,1,19.204844358662886
S018,dog,UK,91,8,18.77672073990669
S019,dog,UK,99,5,19.242779088667156
S020,dog,UK,91,13,22.409057234487488
S021,dog,UK,120,8,19.14716572697285
S022,dog,UK,101,4,18.455201114153702
S023,dog,UK,96,4,22.83720963912033
S024,dog,UK,95,7,17.260636246203184
S025,dog,UK,96,6,21.75006025876519
S026,dog,UK,107,8,18.928012152500457
S027,dog,UK,106,16,23.313803534071102
S028,dog,UK,105,6,20.961727310667325
S029,dog,UK,99,4,17.751529166042975
S030,dog,UK,104,3,18.597237804979443
S031,dog,UK,104,9,20.194382348232704
S032,dog,UK,112,5,16.41487268089239
S033,dog,UK,115,11,22.31492058970375
S034,dog,UK,105,11,25.203846345523004
S035,dog,UK,94,2,19.429571526352962
S036,dog,UK,98,9,19.82406110370245
S037,dog,UK,101,7,18.882014020710077
S038,dog,UK,97,11,19.369488751237796
S039,dog,UK,98,3,16.896746989970083
S040,dog,UK,99,5,16.506487473163034
S041,dog,UK,94,4,22.04635602533282
S042,dog,UK,100,8,19.366047223135137
S043,dog,UK,100,9,20.42182597170255
S044,dog,UK,107,4,20.695993018976154
S045,dog,UK,97,13,18.88070190417643
S046,dog,UK,98,10,20.52541733724201
S047,dog,UK,91,10,21.077990166466318
S048,dog,UK,81,3,17.250711764802702
S049,dog,UK,102,10,20.29360820895107
S050,dog,UK,100,10,22.011347095739687
S051,dog,UK,101,7,21.988963287235737
S052,dog,UK,101,8,19.524560070909786
S053,dog,UK,92,8,17.860620181857616
S054,dog,UK,79,2,16.821511913168727
S055,dog,UK,102,10,21.449137601323944
S056,dog,UK,91,5,17.57967270672156
S057,dog,UK,93,7,19.762784177998544
S058,dog,UK,107,13,23.003227652914852
S059,dog,UK,111,7,19.47328776708549
S060,dog,UK,101,7,19.60854152311395
S061,dog,UK,116,5,20.34546485704331
S062,dog,UK,106,7,19.14065730707411
S063,dog,UK,99,5,15.845450300786993
S064,dog,UK,89,2,17.362979968959273
S065,dog,UK,99,6,22.014166034179347
S066,dog,UK,109,10,18.27781167502671
S067,dog,UK,104,9,17.171466191481496
S068,dog,UK,91,10,18.011766378545552
S069,dog,UK,87,5,17.514530907850897
S070,dog,UK,102,8,18.440432467258006
S071,dog,UK,96,12,19.943919710860765
S072,dog,UK,113,5,23.378773193680658
S073,dog,UK,97,11,24.87674574724958
S074,dog,UK,74,3,15.393231554153129
S075,dog,UK,90,8,22.779619784116065
S076,dog,UK,115,9,21.82543054029565
S077,dog,UK,91,5,18.76939958535281
S078,dog,UK,91,5,24.98052519627047
S079,dog,UK,117,9,21.323474978857092
S080,dog,UK,87,1,16.373760155137283
S081,dog,UK,101,3,16.645862236708542
S082,dog,UK,113,7,19.939230389216934
S083,dog,UK,106,7,20.965635573275662
S084,dog,UK,100,6,20.55224347282231
S085,dog,UK,107,10,21.28942347006104
S086,dog,UK,89,6,20.13340915782012
S087,dog,UK,107,14,24.319941977081537
S088,dog,UK,110,9,23.27976751093201
S089,dog,UK,101,8,22.007914237222636
S090,dog,UK,87,6,17.9800830053736
S091,dog,UK,102,9,20.62846710788046
S092,dog,UK,106,3,18.76479725910832
S093,dog,UK,91,7,19.081030637760488
S094,dog,UK,92,10,18.791021696927498
S095,dog,UK,106,6,18.449460646313774
S096,dog,UK,105,10,19.57731315715892
S097,dog,UK,110,10,23.69632338352773
S098,dog,UK,102,5,18.380395473501242
S099,dog,UK,96,6,23.115903452114672
S100,dog,UK,120,11,17.396623603035405
S101,dog,UK,108,7,19.499122000966388
S102,dog,UK,87,2,21.2161769674586
S103,dog,UK,103,10,18.549550001515954
S104,dog,UK,100,7,18.83276150418101
S105,dog,UK,95,6,18.659639432336654
S106,dog,UK,102,4,20.924828554471304
S107,dog,UK,105,4,17.918900131766968
S108,dog,UK,93,4,18.474175052551544
S109,dog,UK,89,7,20.293203954406565
S110,dog,UK,97,7,18.41503907998338
S111,dog,UK,84,6,14.264499456778228
S112,dog,UK,103,6,20.396810405370054
S113,dog,UK,95,5,22.047867362628455
S114,dog,UK,111,9,20.288321792661215
S115,dog,UK,107,6,19.599854389098763
S116,dog,UK,104,8,22.524259366524117
S117,dog,UK,98,2,17.91527669402534
S118,dog,UK,117,8,24.45215931248471
S119,dog,UK,99,9,23.091676397538258
S120,dog,UK,89,10,20.601115202451574
S121,dog,UK,115,7,23.038070697021304
S122,dog,UK,93,6,20.342593521704575
S123,dog,UK,114,9,23.874410352144505
S124,dog,UK,88,7,21.716631052193403
S125,dog,UK,103,5,20.88822565003841
S126,dog,UK,103,14,24.27753657700081
S127,dog,UK,100,4,22.384143983916594
S128,dog,UK,112,9,21.406054843629484
S129,dog,UK,106,5,19.5657631877959
S130,dog,UK,95,4,19.255197784422002
S131,dog,UK,107,8,15.834193083708184
S132,dog,UK,108,7,19.295236714755102
S133,dog,UK,93,8,20.970472516301434
S134,dog,UK,93,10,19.38859480588136
S135,dog,UK,109,9,18.87885366147911
S136,dog,UK,95,3,23.770376109789716
S137,dog,UK,99,14,23.365576015402365
S138,dog,UK,100,10,21.98503734576395
S139,dog,UK,99,10,23.420401466648272
S140,dog,UK,95,8,19.86864830216227
S141,dog,UK,92,13,20.72460098391389
S142,dog,UK,83,8,17.483284816404716
S143,dog,UK,110,12,21.584467325459045
S144,dog,UK,91,4,19.22386033423599
S145,dog,UK,95,6,18.750266387236756
S146,dog,UK,98,8,18.207425854484207
S147,dog,UK,112,10,20.513291023752704
S148,dog,UK,105,9,21.42348572125844
S149,dog,UK,113,8,19.9990045741791
S150,dog,UK,103,6,22.433144949622257
S151,dog,UK,97,3,20.800115635461793
S152,dog,UK,109,9,21.61069825682521
S153,dog,UK,115,5,17.734342838716262
S154,dog,UK,89,5,17.70688637136483
S155,dog,UK,94,6,17.77358291085432
S156,dog,UK,88,9,17.349836716686568
S157,dog,UK,79,4,19.409997067518535
S158,dog,UK,91,5,18.998976192915247
S159,dog,UK,103,10,22.737624185713532
S160,dog,UK,96,10,20.82066560369656
S161,dog,UK,109,7,18.861082063809576
S162,dog,UK,107,11,21.662757773900818
S163,dog,UK,95,14,23.040383528435452
S164,dog,UK,98,1,19.168342190864923
S165,dog,UK,74,4,19.66379720916227
S166,dog,UK,87,7,20.615636987018902
S167,dog,UK,90,3,17.5696495012788
S168,dog,UK,104,11,19.926220620101983
S169,dog,UK,90,2,18.171902714512843
S170,dog,UK,110,6,18.62066393641525
S171,dog,UK,79,8,17.266713698270326
S172,dog,UK,106,7,21.353506026859097
S173,dog,UK,107,7,19.752348811574286
S174,dog,UK,102,6,18.79422294409719
S175,dog,UK,115,10,20.68782346088652
S176,dog,UK,104,6,22.602992659483615
S177,dog,UK,94,10,17.466580691074654
S178,dog,UK,104,10,21.707214368962674
S179,dog,UK,91,6,17.39809642428757
S180,dog,UK,89,15,23.143970334477867
S181,dog,UK,119,7,21.789023393734535
S182,dog,UK,114,8,21.577532464042847
S183,dog,UK,102,5,20.447084169630266
S184,dog,UK,84,2,16.081095940564417
S185,dog,UK,99,8,17.364748856140714
S186,dog,UK,100,8,22.063776549396486
S187,dog,UK,75,2,15.878866438334423
S188,dog,UK,92,5,20.199378893968618
S189,dog,UK,81,7,19.22456494706689
S190,dog,UK,110,4,17.82456660821604
S191,dog,UK,102,10,23.211420136391446
S192,dog,UK,82,11,21.35040051147293
S193,dog,UK,102,4,20.492237144569817
