id,user_id,date,sss1,sss2,sss3,sss4,sss5,sss6,sss7,sss8,sss9,sss10,sss11,sss12,sss13,sss14
3144,0,2006-05-07,1,0,0,0,1,1,1,1,0,0,0,0,1,0
133,1,2004-12-08,0,1,1,0,1,0,1,1,0,0,1,1,0,0
175,2,2005-01-14,0,0,1,0,0,0,1,0,0,0,1,0,0,0
285,5,2005-02-22,1,1,1,1,1,1,1,1,0,1,1,0,1,0
1,8,2004-09-29,1,1,1,1,1,1,0,1,0,1,0,1,1,1
3,9,2004-09-30,1,1,1,1,1,0,1,1,1,0,1,1,1,1
4,10,2004-10-01,1,1,1,0,1,1,0,0,1,0,1,1,0,0
5,17,2004-10-05,1,0,1,0,1,1,1,1,1,1,1,1,1,0
6,19,2004-10-05,1,1,0,1,1,0,0,1,0,1,1,1,1,0
7,20,2004-10-05,1,1,0,0,1,1,1,1,0,0,1,0,1,0
8,21,2004-10-06,1,1,0,0,1,1,0,0,0,0,1,1,1,1
9,22,2004-10-07,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10,23,2004-10-08,0,0,0,0,1,0,1,0,0,0,1,0,0,0
12,24,2004-10-09,0,0,0,1,0,1,1,0,1,0,1,1,0,0
11,27,2004-10-09,1,1,1,1,1,1,1,0,0,0,1,1,0,0
13,30,2004-10-10,0,0,0,0,1,0,0,1,0,0,1,0,1,1
14,31,2004-10-10,1,1,1,0,1,1,0,0,1,0,1,1,1,1
15,32,2004-10-10,1,1,0,0,1,0,0,1,1,0,0,1,0,0
16,33,2004-10-10,1,0,1,1,1,1,1,0,1,1,0,1,1,0
17,34,2004-10-11,1,0,0,0,0,0,0,0,0,0,1,1,1,0
18,35,2004-10-11,0,1,0,0,0,0,0,0,1,0,1,1,0,0
19,37,2004-10-11,1,1,0,0,1,0,1,1,1,1,0,0,1,1
268,47,2005-02-18,1,1,1,0,1,0,1,1,1,0,1,0,1,0
38,51,2004-10-18,1,0,0,0,1,1,1,1,0,0,0,1,1,1
94,67,2004-11-25,1,1,1,0,1,0,0,0,1,1,1,0,1,1
20,78,2004-10-12,0,0,0,0,1,0,0,1,0,0,1,0,1,1
21,82,2004-10-12,0,0,1,0,0,0,0,1,0,0,1,0,0,1
65,84,2004-11-01,0,0,0,0,0,0,1,1,1,0,1,0,1,0
287,98,2005-02-23,0,0,0,0,0,1,0,0,0,0,0,0,1,0
200,102,2005-02-02,0,1,1,0,1,1,1,1,0,1,1,1,1,0
39,103,2004-10-18,0,0,0,0,1,1,1,1,0,0,0,0,0,0
55,106,2004-10-22,0,0,0,0,0,0,1,1,0,0,1,0,0,0
22,108,2004-10-13,0,1,0,0,1,1,0,1,0,0,1,0,0,0
24,137,2004-10-14,1,0,0,0,1,0,1,0,0,1,1,0,1,0
25,139,2004-10-14,1,1,0,0,1,0,1,1,0,0,1,1,1,1
26,140,2004-10-14,1,1,1,1,1,1,1,1,0,1,1,0,1,1
28,142,2004-10-14,0,1,0,0,1,0,0,1,0,0,1,1,0,1
27,144,2004-10-14,0,1,0,0,1,1,1,1,1,0,0,1,1,0
29,168,2004-10-14,1,0,1,0,1,0,1,1,1,0,1,1,1,0
321,169,2005-03-04,0,0,0,0,1,1,1,1,1,0,0,0,0,0
30,172,2004-10-15,0,0,0,1,1,1,1,1,1,0,1,1,0,0
32,173,2004-10-15,1,1,0,0,1,1,1,1,1,0,0,0,1,1
33,194,2004-10-15,1,1,1,0,1,1,1,1,0,0,1,0,1,1
56,197,2004-10-22,1,1,1,0,1,1,1,1,0,0,0,0,1,0
34,202,2004-10-15,1,1,1,0,0,1,1,1,1,0,1,0,1,1
36,204,2004-10-18,1,1,1,0,1,0,0,0,1,0,1,1,0,1
43,205,2004-10-20,0,1,0,0,1,0,0,1,1,0,0,0,1,0
35,207,2004-10-18,1,1,0,0,1,0,0,1,1,1,1,1,1,0
37,210,2004-10-18,1,1,0,0,1,0,0,0,0,0,0,0,1,1
297,213,2005-02-25,0,1,1,0,1,1,1,1,0,0,0,1,0,0
40,219,2004-10-19,1,1,1,1,1,0,1,1,1,1,1,1,1,1
