user_id,sex,age,id,q2663,q2664,q2665,q2666,q2667,q2668,q2669,q2670,q2671,q2672,q2673,q2674,q2675,q2676,q2677,q2678,q2679,q2680,q2681,q2682,q2683,q2684,starttime,endtime
128445,female,18.1,7,2,1,2,4,4,2,4,1,1,1,4,3,3,1,2,1,4,1,2,1,1,3,2008-02-04 12:28:58,2008-02-04 12:30:38
128443,female,18.1,8,2,2,3,4,3,2,4,2,2,2,2,3,3,2,3,2,4,3,3,1,3,3,2008-02-04 12:35:55,2008-02-04 12:38:09
128453,female,22.0,9,2,2,4,3,3,2,3,1,1,1,4,1,2,2,1,1,4,2,2,1,3,2,2008-02-04 13:32:43,2008-02-04 13:34:25
128634,female,20.0,10,2,1,2,4,3,2,4,2,2,1,4,2,1,2,1,2,4,2,2,1,2,2,2008-02-05 10:18:16,2008-02-05 10:20:11
128637,female,46.1,11,1,2,2,3,4,1,4,2,1,1,2,2,1,1,1,1,4,1,2,1,1,1,2008-02-05 10:37:55,2008-02-05 10:39:54
128655,female,18.9,12,2,2,,3,3,2,2,2,2,2,3,3,2,2,2,2,3,2,3,2,2,3,2008-02-05 12:05:57,2008-02-05 12:07:21
128656,female,18.8,13,1,2,4,4,3,2,4,2,2,2,4,2,2,1,2,1,3,2,2,2,2,3,2008-02-05 12:31:04,2008-02-05 12:33:15
128690,female,18.9,14,1,2,3,4,4,1,4,1,1,1,3,1,1,1,1,1,4,1,1,1,1,2,2008-02-05 15:04:09,2008-02-05 15:06:17
128847,female,20.6,16,2,1,3,3,3,3,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2008-02-06 10:51:33,2008-02-06 10:53:11
128858,female,18.1,17,2,2,3,4,3,1,3,3,2,2,3,2,1,1,1,2,4,2,2,2,2,1,2008-02-06 11:31:23,2008-02-06 11:33:24
128866,female,20.4,18,1,1,4,4,4,1,3,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,2008-02-06 12:20:00,2008-02-06 12:22:28
106409,female,19.9,19,1,1,4,4,3,1,4,3,1,1,2,1,1,1,1,1,3,1,1,1,1,1,2008-02-06 13:01:48,2008-02-06 13:03:43
128873,female,18.3,20,1,2,3,3,2,2,3,2,2,2,3,3,2,1,2,2,4,2,2,2,2,3,2008-02-06 13:14:20,2008-02-06 13:16:29
128876,female,19.2,21,1,1,3,4,4,1,4,1,2,1,2,1,2,1,1,1,4,2,2,2,2,1,2008-02-06 13:52:47,2008-02-06 13:55:15
128890,female,18.1,22,2,1,3,3,4,2,3,2,2,2,2,2,2,1,1,3,4,1,2,1,2,1,2008-02-06 14:10:27,2008-02-06 14:12:16
129139,female,18.7,23,2,1,3,4,3,2,,2,2,3,3,1,2,2,2,2,4,2,2,2,2,1,2008-02-07 10:40:51,2008-02-07 10:42:34
107248,female,19.8,24,1,1,3,2,3,1,3,1,1,1,2,3,2,2,1,2,4,1,1,1,1,1,2008-02-07 12:20:47,2008-02-07 12:22:37
129165,female,21.8,25,1,2,3,3,4,2,1,3,2,2,1,3,1,1,1,2,4,2,2,2,2,3,2008-02-07 13:32:24,2008-02-07 13:34:36
130023,female,18.6,26,1,1,4,4,4,1,4,1,1,1,4,1,1,1,1,1,3,1,1,1,1,1,2008-02-11 11:12:24,2008-02-11 11:14:22
130040,female,18.2,27,2,1,4,3,2,2,4,2,2,1,4,1,1,2,1,2,4,1,2,2,1,2,2008-02-11 12:58:20,2008-02-11 13:00:37
130042,female,20.4,28,2,1,3,3,4,1,2,1,2,1,2,1,1,2,1,1,3,1,1,1,1,1,2008-02-11 13:06:18,2008-02-11 13:08:06
130041,female,19.4,29,2,1,3,3,4,2,4,1,2,1,3,2,1,2,1,2,4,2,2,2,2,2,2008-02-11 13:27:00,2008-02-11 13:28:52
130319,female,18.9,30,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2008-02-12 10:23:11,2008-02-12 10:24:40
106385,female,18.1,31,2,2,3,3,3,2,3,3,2,2,2,3,2,1,2,2,3,3,3,1,2,3,2008-02-12 11:01:16,2008-02-12 11:03:41
130342,female,19.2,32,2,3,4,3,2,3,3,3,4,2,2,1,3,2,3,2,3,2,2,3,2,4,2008-02-12 12:55:24,2008-02-12 12:58:06
130345,female,31.9,33,1,2,4,4,4,2,4,1,1,1,4,1,1,1,1,1,4,2,1,1,1,3,2008-02-12 13:40:45,2008-02-12 13:45:08
130579,female,18.9,34,1,2,2,3,3,2,3,2,1,2,3,3,2,2,2,1,3,2,3,1,1,2,2008-02-13 12:46:51,2008-02-13 12:49:15
130582,male,22.3,35,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2008-02-13 12:54:34,2008-02-13 12:57:27
130589,female,,36,2,2,3,3,3,2,3,3,2,2,2,3,2,2,2,2,3,2,2,1,2,2,2008-02-13 13:26:43,2008-02-13 13:28:27
130773,female,19.9,37,1,2,3,3,3,2,,1,2,1,3,1,1,1,1,1,4,2,2,2,2,1,2008-02-14 11:07:41,2008-02-14 11:09:57
130779,female,18.7,38,2,1,3,3,3,2,3,1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2008-02-14 12:41:19,2008-02-14 12:43:13
131614,female,18.3,39,2,2,4,2,2,2,2,3,2,1,2,2,2,2,2,2,3,2,2,3,3,2,2008-02-18 12:10:18,2008-02-18 12:11:54
131626,female,19.3,40,1,1,4,4,4,1,4,1,1,1,3,3,1,1,1,1,4,1,1,1,1,1,2008-02-18 13:04:33,2008-02-18 13:07:37
131624,female,18.7,41,2,3,4,2,2,1,1,3,4,2,2,2,3,1,3,2,2,2,2,1,3,2,2008-02-18 13:12:18,2008-02-18 13:14:00
131623,female,18.3,42,1,2,2,3,2,1,2,2,2,1,2,2,1,2,1,1,4,2,2,2,2,1,2008-02-18 13:23:19,2008-02-18 13:25:01
131647,male,18.9,43,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2008-02-18 15:17:46,2008-02-18 15:18:33
131670,female,19.0,44,2,1,4,4,2,2,2,2,1,1,3,1,2,1,2,1,4,2,2,2,2,1,2008-02-18 15:16:16,2008-02-18 15:18:43
