id,user_id,date,moral1,moral2,moral3,moral4,moral5,moral6,moral7,sexual1,sexual2,sexual3,sexual4,sexual5,sexual6,sexual7,pathogen1,pathogen2,pathogen3,pathogen4,pathogen5,pathogen6,pathogen7
1199,0,2008-10-07,5,6,4,6,5,5,6,4,0,1,0,1,4,5,6,1,6,5,4,5,6
1,1,2008-07-10,2,2,1,2,1,1,1,3,1,1,2,1,2,2,3,2,3,3,2,3,3
1599,2,2008-10-27,1,1,1,1,,,1,1,,1,,1,,,,,1,,,,
13332,2118,2012-01-02,0,1,1,1,1,2,1,4,3,0,6,0,3,5,5,6,4,6,5,5,4
23,2311,2008-07-15,4,4,4,4,4,4,4,2,1,2,1,1,1,5,5,5,4,4,5,4,3
1160,3630,2008-10-06,1,5,,5,5,5,1,0,5,0,2,0,1,0,6,3,1,1,3,1,0
7980,4458,2011-09-05,3,4,3,4,4,3,3,2,4,3,2,1,5,4,6,4,4,3,3,2,3
552,4651,2008-08-23,2,4,3,5,5,5,3,4,2,4,6,6,6,2,5,6,6,4,6,1,6
37829,4976,2016-03-22,6,6,6,0,6,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,6
6902,5469,2010-12-06,0,1,3,4,1,0,1,3,5,2,4,6,6,5,5,2,4,4,2,2,6
6158,6066,2010-04-18,4,5,6,5,5,4,4,3,0,1,6,3,5,3,6,5,5,5,5,5,5
4850,6093,2009-11-09,1,2,2,2,1,2,1,1,0,0,3,0,4,4,4,3,1,1,4,1,3
1134,6172,2008-10-05,1,4,3,4,3,4,3,1,0,0,1,0,2,1,4,4,3,4,5,4,5
6362,7129,2010-06-09,4,4,4,4,3,3,2,4,2,1,3,2,3,6,5,2,0,4,5,5,4
22486,7646,2013-06-13,2,5,4,6,5,4,5,2,1,0,2,1,4,3,3,3,2,4,5,1,5
4296,8378,2009-08-23,1,3,2,4,5,4,4,0,0,0,0,0,0,0,5,4,3,1,4,2,3
26649,8742,2014-01-26,,,,,,,,,,,,,,,,,,,,,
1763,9881,2008-11-02,3,5,4,5,3,4,3,1,3,3,5,5,3,3,4,5,3,5,4,5,5
12075,10054,2011-11-19,1,2,3,2,2,3,4,3,0,0,2,0,3,5,4,4,3,4,4,5,2
27643,11090,2014-02-27,3,3,3,3,3,0,3,2,0,6,6,2,6,3,3,2,5,0,5,5,6
1772,11381,2008-11-03,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,1,0,4,1,4
11322,11395,2011-10-31,1,5,4,4,5,3,4,0,0,0,5,0,5,1,4,2,2,1,3,1,1
10307,12820,2011-10-02,4,4,2,4,4,4,4,0,0,0,2,0,1,4,6,3,2,5,3,2,3
31364,16498,2014-10-08,,3,,,,,3,,3,,,3,,3,3,,3,3,3,,3
15853,18914,2012-05-16,4,6,1,6,5,6,3,1,0,,1,0,3,0,1,1,1,1,1,2,1
2400,24371,2008-12-03,5,6,4,3,6,5,2,0,0,1,4,2,5,6,5,0,3,1,5,0,4
