user_id,sex,age,id,q2616,q2617,q2618,q2619,q2620,q2621,q2622,q2623,q2624,q2625,q2626,q2627,q2628,q2629,q2630,q2631,q2632,q2633,q2634,q2635,q2636,q2637,q2638,q2639,q2640,starttime,endtime
128445,female,18.1,7,1,4,4,3,4,4,4,2,4,4,4,1,3,4,4,4,4,2,1,4,4,3,1,2,3,2008-02-04 12:32:02,2008-02-04 12:34:29
128443,female,18.1,8,3,4,1,3,4,4,3,3,3,2,3,3,3,4,2,4,2,1,2,2,4,3,2,3,2,2008-02-04 12:44:09,2008-02-04 12:46:42
128453,female,22.0,9,2,4,1,3,4,2,4,1,4,1,3,1,3,2,3,4,4,4,4,2,4,2,1,3,2,2008-02-04 13:39:41,2008-02-04 13:42:02
128634,female,20.0,10,2,4,2,3,3,3,4,1,4,2,2,1,2,3,4,4,2,2,4,3,4,2,1,4,2,2008-02-05 10:09:24,2008-02-05 10:11:53
128637,female,46.1,11,3,3,3,3,3,3,2,3,2,2,2,3,3,4,4,4,3,4,2,2,3,3,4,,3,2008-02-05 10:39:54,2008-02-05 10:42:20
128655,female,18.9,12,3,3,2,4,2,3,4,3,3,3,2,2,4,3,3,4,3,1,3,2,2,4,2,4,2,2008-02-05 12:09:01,2008-02-05 12:11:09
128656,female,18.8,13,2,4,2,2,3,2,3,2,3,3,3,3,2,3,3,3,3,3,2,4,2,2,3,1,1,2008-02-05 12:26:30,2008-02-05 12:29:20
128690,female,18.9,14,3,2,2,2,2,2,1,2,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,2008-02-05 15:14:41,2008-02-05 15:17:02
128847,female,20.6,16,1,2,3,2,3,1,3,2,3,3,4,3,2,3,3,3,3,2,3,2,2,2,3,2,2,2008-02-06 10:53:11,2008-02-06 10:55:03
128858,female,18.1,17,2,3,1,3,4,4,3,4,3,1,2,1,4,2,2,3,3,3,3,4,4,4,2,3,2,2008-02-06 11:36:58,2008-02-06 11:39:05
128866,female,20.4,18,4,4,3,2,3,3,4,1,2,3,3,3,2,3,3,3,2,1,4,3,2,2,3,3,4,2008-02-06 12:16:39,2008-02-06 12:20:00
128873,female,18.3,19,2,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,2,3,1,2,2,2008-02-06 13:05:33,2008-02-06 13:08:35
106409,female,19.9,20,1,4,1,1,2,4,4,1,2,2,2,2,2,3,,3,3,2,2,3,2,2,2,3,4,2008-02-06 13:10:51,2008-02-06 13:12:50
